func,iter,xcen,ycen,depth,radius,dP_mu
2.025780e+01,18,4.2622891e+05,4.5186205e+06,3.9909831e+03,9.6332277e+02,4.3293727e-03
2.025914e+01,19,4.2623047e+05,4.5186338e+06,3.8998107e+03,1.0425861e+03,3.3242911e-03
2.025946e+01,19,4.2624867e+05,4.5186453e+06,3.9353445e+03,9.3126709e+02,4.7874761e-03
2.025978e+01,16,4.2623918e+05,4.5186605e+06,3.9381513e+03,9.4701746e+02,4.4241753e-03
2.025978e+01,16,4.2621399e+05,4.5186734e+06,3.8732634e+03,9.2375260e+02,4.7305708e-03
2.026053e+01,19,4.2624342e+05,4.5186558e+06,3.8627069e+03,9.2827748e+02,4.6736278e-03
2.026117e+01,19,4.2623571e+05,4.5186640e+06,3.8677721e+03,9.2636912e+02,4.7193711e-03
2.026235e+01,18,4.2623369e+05,4.5186801e+06,3.8629950e+03,8.9738221e+02,5.0784847e-03
2.026248e+01,19,4.2620357e+05,4.5186306e+06,3.9778335e+03,9.5291891e+02,4.4664782e-03
2.026261e+01,17,4.2622286e+05,4.5186391e+06,3.8698393e+03,9.2497939e+02,4.7169903e-03
2.026276e+01,19,4.2621824e+05,4.5186565e+06,3.8691965e+03,9.1701878e+02,4.7617877e-03
2.026295e+01,16,4.2622756e+05,4.5186303e+06,3.9949672e+03,9.5729985e+02,4.4815168e-03
2.026298e+01,19,4.2626497e+05,4.5186492e+06,3.8853437e+03,8.9881283e+02,5.1361443e-03
2.026455e+01,19,4.2623065e+05,4.5186410e+06,3.9009392e+03,1.0594489e+03,3.1693017e-03
2.026523e+01,19,4.2623382e+05,4.5186828e+06,3.8822877e+03,8.9723477e+02,5.1015751e-03
2.026570e+01,19,4.2625054e+05,4.5186784e+06,3.8806143e+03,8.9982319e+02,5.0623838e-03
2.026621e+01,19,4.2624280e+05,4.5186389e+06,3.8667954e+03,9.2126851e+02,4.7591552e-03
2.026639e+01,18,4.2620517e+05,4.5186596e+06,3.8986563e+03,9.0423104e+02,5.1139480e-03
2.026642e+01,18,4.2622243e+05,4.5186556e+06,3.8703650e+03,9.2936756e+02,4.6764312e-03
2.026661e+01,19,4.2623798e+05,4.5186458e+06,4.0078248e+03,9.6719823e+02,4.3201048e-03
2.026764e+01,19,4.2623676e+05,4.5186434e+06,3.9810184e+03,9.6698036e+02,4.3387994e-03
2.026791e+01,18,4.2621748e+05,4.5186392e+06,3.8703819e+03,8.9680490e+02,5.1175201e-03
2.026878e+01,19,4.2625135e+05,4.5186306e+06,4.0009346e+03,9.6344964e+02,4.3813213e-03
2.026884e+01,18,4.2623572e+05,4.5186394e+06,4.0076590e+03,9.6098667e+02,4.3783069e-03
2.026890e+01,19,4.2623756e+05,4.5186460e+06,3.8807450e+03,9.2482101e+02,4.6557075e-03
2.026918e+01,18,4.2626132e+05,4.5186763e+06,3.8824746e+03,8.9832015e+02,5.1732302e-03
2.026946e+01,18,4.2625181e+05,4.5186621e+06,3.8799228e+03,8.9418492e+02,5.1429587e-03
2.026952e+01,17,4.2621967e+05,4.5186449e+06,4.0031699e+03,9.6221829e+02,4.3628521e-03
