xtlc,ytlc,dtlc,length,width,dip,opening
4.2495533e+05,4.5197048e+06,3.7102565e+03,2.4186617e+03,2.1564612e+03,1.6115929e-01,1.3249571e+00
4.2492482e+05,4.5197001e+06,3.6853664e+03,2.4710274e+03,2.2300490e+03,3.8852588e-01,1.2556428e+00
4.2492052e+05,4.5197394e+06,3.6617571e+03,2.5273867e+03,2.2998695e+03,2.1672324e-01,1.1586249e+00
4.2493339e+05,4.5197391e+06,3.6421288e+03,2.5097882e+03,2.2227973e+03,2.0272759e-01,1.2209377e+00
4.2495157e+05,4.5196780e+06,3.7140726e+03,2.4433329e+03,2.2326972e+03,4.4835144e-01,1.2623847e+00
4.2492380e+05,4.5197415e+06,3.6859297e+03,2.5046119e+03,2.2454170e+03,4.6792850e-01,1.2200109e+00
4.2487310e+05,4.5198143e+06,3.6417361e+03,2.5959449e+03,2.3391877e+03,1.5141902e-01,1.1014181e+00
4.2541774e+05,4.5192247e+06,4.6312804e+03,1.3883080e+03,2.4237965e+03,2.8700170e+00,3.1087460e+00
4.2510451e+05,4.5195366e+06,3.6471174e+03,2.2685033e+03,1.8874980e+03,4.7891287e-01,1.5832995e+00
4.2489934e+05,4.5197913e+06,3.6551792e+03,2.5572789e+03,2.3017914e+03,1.1252694e-01,1.1447283e+00
4.2491033e+05,4.5197800e+06,3.6594166e+03,2.5718366e+03,2.3749884e+03,2.0400107e-01,1.1035007e+00
4.2491579e+05,4.5197576e+06,3.6771463e+03,2.5241807e+03,2.2944285e+03,2.2834944e-01,1.1758713e+00
4.2491226e+05,4.5197632e+06,3.6842222e+03,2.5314302e+03,2.3211220e+03,1.9482038e-01,1.1524288e+00
4.2501509e+05,4.5196058e+06,3.7301439e+03,2.3404333e+03,2.0565816e+03,7.8588575e-01,1.4402723e+00
4.2497334e+05,4.5196679e+06,3.7319099e+03,2.3564867e+03,2.0865208e+03,1.1368058e-01,1.4051406e+00
4.2487547e+05,4.5197422e+06,3.6648547e+03,2.5289356e+03,2.3186321e+03,1.0130324e-01,1.1667930e+00
4.2490724e+05,4.5197658e+06,3.6398831e+03,2.5628763e+03,2.3278982e+03,1.1860897e-01,1.1151921e+00
4.2492385e+05,4.5197436e+06,3.6549789e+03,2.5195189e+03,2.2624597e+03,2.1536869e-01,1.1912236e+00
4.2496119e+05,4.5196642e+06,3.7224072e+03,2.3917971e+03,2.1425832e+03,2.7353890e-01,1.3417704e+00
4.2504301e+05,4.5195940e+06,3.6925074e+03,2.3279725e+03,2.0171886e+03,5.5677813e-01,1.4714545e+00
4.2489504e+05,4.5197546e+06,3.6550098e+03,2.5378790e+03,2.2933365e+03,1.6923757e-01,1.1620250e+00
4.2542325e+05,4.5192194e+06,4.6421118e+03,1.3758490e+03,2.4260532e+03,2.8986148e+00,3.1305500e+00
4.2510744e+05,4.5195337e+06,3.6548521e+03,2.2460894e+03,1.8570416e+03,3.7614797e-01,1.6152760e+00
4.2490193e+05,4.5197860e+06,3.6586315e+03,2.5520772e+03,2.3006342e+03,1.3072955e-01,1.1496227e+00
4.2491965e+05,4.5197638e+06,3.6623902e+03,2.5525081e+03,2.3403725e+03,2.7660132e-01,1.1345607e+00
4.2494252e+05,4.5197143e+06,3.7029116e+03,2.4743621e+03,2.2602563e+03,3.2576632e-01,1.2258941e+00
4.2493127e+05,4.5197032e+06,3.6837307e+03,2.4636401e+03,2.2241544e+03,2.2839888e-01,1.2591932e+00
4.2499409e+05,4.5196374e+06,3.7126201e+03,2.3794964e+03,2.1046872e+03,5.9552005e-01,1.3814289e+00
4.2497291e+05,4.5196794e+06,3.7040704e+03,2.3978142e+03,2.1298472e+03,1.4641904e-01,1.3475471e+00
4.2487547e+05,4.5197422e+06,3.6648547e+03,2.5289356e+03,2.3186321e+03,1.0130324e-01,1.1667930e+00
4.2494140e+05,4.5197218e+06,3.6480972e+03,2.5061359e+03,2.2485493e+03,2.2232607e-01,1.2026179e+00
4.2493324e+05,4.5197201e+06,3.6723438e+03,2.4815905e+03,2.2225773e+03,2.0856082e-01,1.2360588e+00
4.2497985e+05,4.5196238e+06,3.7513156e+03,2.3159779e+03,2.0540485e+03,1.6129003e-01,1.4323539e+00
4.2503587e+05,4.5195902e+06,3.6876150e+03,2.3173753e+03,1.9898442e+03,4.0841674e-01,1.4794320e+00
4.2490039e+05,4.5197487e+06,3.6468677e+03,2.5417926e+03,2.2930396e+03,2.2992101e-01,1.1605835e+00
4.2524399e+05,4.5193906e+06,4.1981791e+03,1.8124923e+03,2.2214517e+03,1.7443981e+00,2.3647063e+00
4.2514516e+05,4.5194849e+06,3.6642905e+03,2.1641956e+03,1.7349951e+03,2.9837757e-01,1.7344784e+00
4.2496588e+05,4.5196825e+06,3.6892009e+03,2.4199128e+03,2.1437108e+03,2.3538404e-01,1.3240125e+00
4.2491498e+05,4.5197645e+06,3.6645438e+03,2.5513458e+03,2.3403891e+03,2.6130322e-01,1.1361644e+00
4.2492418e+05,4.5197114e+06,3.6970713e+03,2.4745366e+03,2.2529066e+03,2.6215611e-01,1.2275274e+00
4.2491802e+05,4.5197090e+06,3.6822451e+03,2.4793443e+03,2.2573448e+03,2.2001525e-01,1.2335414e+00
4.2503080e+05,4.5195809e+06,3.7422107e+03,2.2937263e+03,1.9907417e+03,7.3425108e-01,1.5042275e+00
4.2499092e+05,4.5196627e+06,3.7254877e+03,2.3544331e+03,2.0796767e+03,1.2854250e-01,1.4059929e+00
4.2490670e+05,4.5197182e+06,3.6527359e+03,2.4996429e+03,2.2513245e+03,1.0012059e-01,1.2116939e+00
4.2491017e+05,4.5197481e+06,3.6308251e+03,2.5541814e+03,2.3097035e+03,1.8954209e-01,1.1385917e+00
