func,iter,xcen,ycen,depth,dP_mu
2.037153e+01,11,4.2620837e+05,4.5186571e+06,3.8265612e+03,3.6736098e-03
2.037256e+01,11,4.2622126e+05,4.5186116e+06,3.9860877e+03,3.9317578e-03
2.037325e+01,11,4.2621685e+05,4.5186818e+06,3.9356419e+03,3.8288530e-03
2.037365e+01,10,4.2623624e+05,4.5186117e+06,4.0119076e+03,3.9530961e-03
2.037415e+01,10,4.2621972e+05,4.5186794e+06,3.9515098e+03,3.8251139e-03
2.037467e+01,11,4.2624959e+05,4.5186327e+06,4.0243031e+03,3.9481863e-03
2.037479e+01,11,4.2622805e+05,4.5186438e+06,3.9965134e+03,3.8523880e-03
2.037542e+01,11,4.2624521e+05,4.5186725e+06,3.8527606e+03,3.7602403e-03
2.037561e+01,11,4.2622257e+05,4.5186854e+06,3.9337761e+03,3.8143628e-03
2.037614e+01,11,4.2622950e+05,4.5186184e+06,4.0254401e+03,3.9646851e-03
2.037715e+01,11,4.2622329e+05,4.5186139e+06,4.0012149e+03,3.9511437e-03
2.037788e+01,10,4.2624518e+05,4.5186285e+06,3.9921526e+03,3.8497264e-03
2.037810e+01,11,4.2620730e+05,4.5186403e+06,3.9157070e+03,3.8521232e-03
2.037849e+01,11,4.2621161e+05,4.5186756e+06,3.8589622e+03,3.7484906e-03
2.037891e+01,9,4.2619408e+05,4.5186467e+06,3.9208716e+03,3.8340502e-03
2.037936e+01,11,4.2623839e+05,4.5186392e+06,3.8456202e+03,3.7453019e-03
2.037992e+01,11,4.2622127e+05,4.5186663e+06,3.9900146e+03,3.8779423e-03
2.038085e+01,11,4.2622166e+05,4.5186524e+06,4.0134932e+03,3.9404559e-03
2.038275e+01,11,4.2620957e+05,4.5186410e+06,3.8321133e+03,3.6819312e-03
2.038331e+01,11,4.2622628e+05,4.5186340e+06,3.9023271e+03,3.8464078e-03
2.038351e+01,11,4.2619593e+05,4.5186582e+06,3.8614550e+03,3.6864146e-03
2.038398e+01,11,4.2622649e+05,4.5186783e+06,3.9365666e+03,3.8640386e-03
2.038451e+01,11,4.2621711e+05,4.5186837e+06,3.9273011e+03,3.8260614e-03
2.038492e+01,11,4.2624505e+05,4.5186761e+06,3.9586504e+03,3.8168599e-03
2.038502e+01,11,4.2620645e+05,4.5186208e+06,4.0040084e+03,3.8891690e-03
2.038516e+01,10,4.2622794e+05,4.5186727e+06,3.9610975e+03,3.8969088e-03
2.038534e+01,11,4.2621561e+05,4.5186217e+06,3.8964045e+03,3.7154479e-03
2.038624e+01,11,4.2624525e+05,4.5186345e+06,4.0113718e+03,3.9741173e-03
2.038741e+01,11,4.2622016e+05,4.5186312e+06,3.9056092e+03,3.7113521e-03
2.038873e+01,10,4.2620716e+05,4.5186201e+06,3.8747406e+03,3.7176334e-03
2.038897e+01,9,4.2625055e+05,4.5186309e+06,3.8956764e+03,3.7112770e-03
2.038931e+01,10,4.2621720e+05,4.5186171e+06,4.0188612e+03,3.9121903e-03
2.038970e+01,11,4.2627395e+05,4.5186550e+06,3.8901978e+03,3.8026572e-03
2.039075e+01,10,4.2621129e+05,4.5186310e+06,3.8417721e+03,3.6970700e-03
2.039087e+01,10,4.2623515e+05,4.5186505e+06,3.8584661e+03,3.7817526e-03
2.039109e+01,11,4.2623561e+05,4.5186280e+06,4.0363167e+03,3.9545489e-03
2.039142e+01,10,4.2619749e+05,4.5186699e+06,3.9396565e+03,3.8225453e-03
2.039185e+01,11,4.2623520e+05,4.5186063e+06,3.9913139e+03,3.8660712e-03
2.039261e+01,11,4.2620341e+05,4.5186263e+06,3.9146773e+03,3.7364439e-03
2.039324e+01,11,4.2622205e+05,4.5186729e+06,3.9541080e+03,3.7949926e-03
2.039461e+01,10,4.2620290e+05,4.5186441e+06,3.9512255e+03,3.8952734e-03
2.039475e+01,11,4.2625440e+05,4.5186829e+06,3.8830839e+03,3.7950826e-03
2.039485e+01,11,4.2623695e+05,4.5186415e+06,3.8302382e+03,3.7165100e-03
2.039517e+01,11,4.2621514e+05,4.5186686e+06,3.8745484e+03,3.6714373e-03
2.039651e+01,11,4.2625724e+05,4.5186166e+06,4.0069469e+03,3.9461011e-03
2.039656e+01,11,4.2626464e+05,4.5186233e+06,3.9968504e+03,3.9346716e-03
2.039712e+01,11,4.2623082e+05,4.5186717e+06,3.8746874e+03,3.6687076e-03
2.039715e+01,11,4.2620652e+05,4.5186185e+06,3.9885038e+03,3.8507841e-03
2.039828e+01,11,4.2621559e+05,4.5186587e+06,4.0046996e+03,3.9266109e-03
2.039914e+01,11,4.2622771e+05,4.5186363e+06,3.8214694e+03,3.6677307e-03
2.039942e+01,11,4.2622273e+05,4.5186343e+06,4.0113837e+03,3.8757812e-03
2.039948e+01,11,4.2620199e+05,4.5186204e+06,3.9352769e+03,3.8656698e-03
2.039962e+01,11,4.2621801e+05,4.5186527e+06,3.8921917e+03,3.8322861e-03
2.040011e+01,11,4.2622800e+05,4.5186181e+06,3.8587798e+03,3.7008898e-03
2.040016e+01,11,4.2621983e+05,4.5186292e+06,4.0062993e+03,3.8661847e-03
2.040029e+01,11,4.2620653e+05,4.5186535e+06,3.9812743e+03,3.8349923e-03
2.040033e+01,11,4.2620269e+05,4.5186089e+06,3.9491217e+03,3.8104038e-03
2.040070e+01,10,4.2623499e+05,4.5186061e+06,4.0214339e+03,3.9449501e-03
2.040203e+01,11,4.2620186e+05,4.5186370e+06,4.0020764e+03,3.9361457e-03
2.040217e+01,11,4.2625856e+05,4.5186547e+06,3.8981260e+03,3.8424060e-03
2.040315e+01,8,4.2623364e+05,4.5186303e+06,4.0043133e+03,3.9772464e-03
2.040337e+01,11,4.2622421e+05,4.5186883e+06,3.8395015e+03,3.7119942e-03
2.040347e+01,10,4.2620368e+05,4.5186105e+06,3.9979979e+03,3.9152296e-03
2.040439e+01,11,4.2620819e+05,4.5186426e+06,3.9832054e+03,3.9377292e-03
2.040447e+01,11,4.2621584e+05,4.5186352e+06,3.9483186e+03,3.9104086e-03
2.040485e+01,11,4.2623750e+05,4.5186347e+06,4.0388569e+03,3.9762572e-03
2.040533e+01,11,4.2619174e+05,4.5186227e+06,3.9026839e+03,3.7851890e-03
2.040545e+01,11,4.2622790e+05,4.5186179e+06,3.8809784e+03,3.7947390e-03
2.040561e+01,11,4.2623177e+05,4.5186625e+06,4.0117461e+03,3.9198344e-03
2.040581e+01,11,4.2620581e+05,4.5186295e+06,4.0178399e+03,3.9502067e-03
2.040582e+01,11,4.2625093e+05,4.5186668e+06,3.8258799e+03,3.6307948e-03
2.040602e+01,11,4.2624645e+05,4.5186714e+06,3.8895982e+03,3.8275650e-03
2.040650e+01,11,4.2625012e+05,4.5186247e+06,3.9898901e+03,3.8442720e-03
2.040682e+01,11,4.2621750e+05,4.5186456e+06,4.0032639e+03,3.8624331e-03
2.040706e+01,11,4.2619074e+05,4.5186294e+06,3.8829559e+03,3.7498773e-03
2.040859e+01,11,4.2623917e+05,4.5186247e+06,4.0352296e+03,3.9374367e-03
2.040873e+01,11,4.2624142e+05,4.5186933e+06,3.8805292e+03,3.7750382e-03
2.040883e+01,11,4.2620302e+05,4.5186503e+06,3.9714498e+03,3.8138831e-03
2.041076e+01,10,4.2622749e+05,4.5186401e+06,3.8663485e+03,3.7947024e-03
2.041125e+01,10,4.2618651e+05,4.5186295e+06,3.9621627e+03,3.8462649e-03
2.041289e+01,11,4.2622398e+05,4.5186727e+06,3.9888086e+03,3.9050042e-03
2.041302e+01,10,4.2626130e+05,4.5186431e+06,3.8465569e+03,3.7421257e-03
2.041307e+01,11,4.2621463e+05,4.5186032e+06,3.9855545e+03,3.8588174e-03
2.041336e+01,11,4.2621017e+05,4.5186429e+06,3.8656545e+03,3.7825289e-03
2.041461e+01,11,4.2619343e+05,4.5186245e+06,3.9907638e+03,3.9072887e-03
2.041467e+01,10,4.2622873e+05,4.5186603e+06,3.8160020e+03,3.6119753e-03
2.041481e+01,11,4.2626284e+05,4.5186447e+06,3.8521551e+03,3.7551669e-03
2.041514e+01,11,4.2625787e+05,4.5186597e+06,3.8220661e+03,3.6391441e-03
2.041524e+01,11,4.2626027e+05,4.5186602e+06,3.9648807e+03,3.8105938e-03
2.041550e+01,11,4.2626709e+05,4.5186231e+06,3.9431969e+03,3.7956265e-03
2.041592e+01,10,4.2620798e+05,4.5186873e+06,3.8871006e+03,3.7677174e-03
2.041643e+01,11,4.2624457e+05,4.5186712e+06,3.9971560e+03,3.9055600e-03
2.041661e+01,11,4.2627666e+05,4.5186696e+06,3.9390792e+03,3.8450965e-03
2.041694e+01,10,4.2618832e+05,4.5186487e+06,3.9599431e+03,3.8242917e-03
