func,iter,xcen,ycen,depth,radius,dP_mu
1.177765e+01,9,4.2629027e+05,4.5186530e+06,2.7879078e+03,8.0477611e+02,3.3357326e-03
1.177775e+01,11,4.2638688e+05,4.5187250e+06,2.5173164e+03,5.5262617e+02,9.2577530e-03
1.179971e+01,10,4.2615268e+05,4.5186976e+06,2.7920992e+03,6.8234463e+02,5.7654895e-03
1.182150e+01,11,4.2627212e+05,4.5187156e+06,2.9215883e+03,7.9810315e+02,4.0655628e-03
1.182169e+01,10,4.2637526e+05,4.5188890e+06,2.5553158e+03,5.4361334e+02,9.6242568e-03
1.182339e+01,11,4.2639531e+05,4.5188101e+06,2.4103884e+03,8.5753832e+02,2.3612064e-03
1.182377e+01,11,4.2625943e+05,4.5188940e+06,2.6283920e+03,8.7293368e+02,2.5909173e-03
1.182749e+01,10,4.2627315e+05,4.5188400e+06,2.8563060e+03,8.7409922e+02,2.9321213e-03
1.182971e+01,9,4.2638100e+05,4.5187609e+06,2.5081961e+03,8.9384725e+02,2.3265002e-03
1.184840e+01,10,4.2622439e+05,4.5187899e+06,2.9242999e+03,6.1740348e+02,8.0686676e-03
1.184888e+01,10,4.2634616e+05,4.5186873e+06,2.7755227e+03,7.2188648e+02,4.5442113e-03
1.184993e+01,10,4.2631484e+05,4.5186446e+06,2.9042092e+03,1.0638887e+03,1.6002313e-03
1.186971e+01,10,4.2620687e+05,4.5188546e+06,2.5030550e+03,9.6289717e+02,1.7211474e-03
1.187682e+01,9,4.2632965e+05,4.5186465e+06,2.9825000e+03,9.1031319e+02,2.7443652e-03
1.189087e+01,10,4.2626132e+05,4.5188469e+06,2.6699179e+03,1.1844517e+03,1.1384993e-03
1.189112e+01,11,4.2628176e+05,4.5187393e+06,2.8676162e+03,6.9042988e+02,5.4256708e-03
1.189136e+01,11,4.2638262e+05,4.5186422e+06,2.8213410e+03,1.2249188e+03,1.0514543e-03
1.192096e+01,10,4.2631650e+05,4.5186531e+06,2.8738707e+03,7.0525538e+02,5.1808329e-03
1.192219e+01,11,4.2633169e+05,4.5188642e+06,2.3803395e+03,8.5397425e+02,2.3833751e-03
