xcen,ycen,depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
4.2675977e+05,4.5178832e+06,4.9195427e+03,2.3222065e+07,3.4986917e+07,3.4086861e+07,9.6055569e+05,3.1841118e+06,-4.0077917e+06
4.2681397e+05,4.5179099e+06,4.8813881e+03,2.1661920e+07,3.4439186e+07,3.3272833e+07,1.2368419e+06,3.4223498e+06,-3.9047594e+06
4.2675538e+05,4.5178868e+06,4.9418029e+03,2.3847265e+07,3.4673704e+07,3.3941816e+07,6.1478872e+05,3.2709056e+06,-3.8636645e+06
4.2675716e+05,4.5179268e+06,4.8976274e+03,2.3231988e+07,3.4965147e+07,3.3491547e+07,1.0269249e+06,3.3030198e+06,-3.8205981e+06
4.2678239e+05,4.5179720e+06,4.8996652e+03,2.2299183e+07,3.4356697e+07,3.2745405e+07,8.6483017e+05,3.5795612e+06,-3.6628173e+06
4.2675353e+05,4.5178856e+06,4.8894436e+03,2.3596641e+07,3.4740131e+07,3.4068344e+07,1.1178786e+06,3.2403660e+06,-3.8171777e+06
4.2678553e+05,4.5179200e+06,4.8896106e+03,2.2464664e+07,3.5072078e+07,3.3841366e+07,1.1175515e+06,3.1767612e+06,-4.0070990e+06
4.2674993e+05,4.5178943e+06,4.8976098e+03,2.2830930e+07,3.4709984e+07,3.4450825e+07,1.1002508e+06,3.0905496e+06,-3.9294052e+06
4.2679238e+05,4.5178595e+06,4.9278846e+03,2.2554403e+07,3.4624647e+07,3.4129440e+07,9.7691780e+05,3.2382969e+06,-4.0903346e+06
4.2677312e+05,4.5178945e+06,4.8901479e+03,2.2790472e+07,3.4773757e+07,3.3587464e+07,1.1584346e+06,3.3569944e+06,-3.8831590e+06
4.2682485e+05,4.5179265e+06,4.8923205e+03,2.1555038e+07,3.3870628e+07,3.2709452e+07,1.0166099e+06,3.6366657e+06,-3.7289752e+06
4.2677494e+05,4.5178851e+06,4.9054313e+03,2.2966107e+07,3.4942906e+07,3.3934468e+07,1.1295003e+06,3.2300435e+06,-3.9792388e+06
4.2674521e+05,4.5178982e+06,4.9279054e+03,2.4433098e+07,3.4211937e+07,3.3783501e+07,5.2227753e+05,3.3538949e+06,-3.6191065e+06
4.2677671e+05,4.5178942e+06,4.8943444e+03,2.2863490e+07,3.4870421e+07,3.3802439e+07,1.0886047e+06,3.2527557e+06,-3.9387774e+06
4.2678250e+05,4.5179147e+06,4.8826837e+03,2.2651039e+07,3.4885352e+07,3.3954408e+07,1.1803764e+06,3.1838827e+06,-3.9450922e+06
4.2677774e+05,4.5178726e+06,4.9065480e+03,2.2539345e+07,3.4165979e+07,3.3269339e+07,1.0443844e+06,3.5566283e+06,-3.8055643e+06
4.2675890e+05,4.5179097e+06,4.9065966e+03,2.4008176e+07,3.4278206e+07,3.3595220e+07,6.7896971e+05,3.3886789e+06,-3.6095489e+06
4.2676433e+05,4.5178929e+06,4.9204345e+03,2.3434166e+07,3.4972693e+07,3.3837787e+07,8.6590425e+05,3.2624853e+06,-3.9100831e+06
4.2673195e+05,4.5179693e+06,4.8938949e+03,2.3792141e+07,3.4803042e+07,3.2855870e+07,8.0648612e+05,3.4744895e+06,-3.5302572e+06
4.2678497e+05,4.5178614e+06,4.9509908e+03,2.3300600e+07,3.3629994e+07,3.3003315e+07,5.0163559e+05,3.6879956e+06,-3.6363487e+06
4.2675115e+05,4.5179164e+06,4.9222024e+03,2.3712966e+07,3.4445410e+07,3.3341732e+07,6.6214053e+05,3.4487627e+06,-3.6727859e+06
4.2673914e+05,4.5179607e+06,4.8816071e+03,2.3661020e+07,3.5059209e+07,3.3154035e+07,1.0216062e+06,3.3508671e+06,-3.6505846e+06
4.2677885e+05,4.5179353e+06,4.9091968e+03,2.2683208e+07,3.4364264e+07,3.3092997e+07,8.3895239e+05,3.5038312e+06,-3.7237250e+06
4.2678056e+05,4.5178954e+06,4.9375864e+03,2.2956577e+07,3.3737476e+07,3.2833949e+07,6.2121244e+05,3.6990445e+06,-3.6240873e+06
4.2678628e+05,4.5178812e+06,4.9315329e+03,2.2823322e+07,3.4275109e+07,3.3358202e+07,7.7109313e+05,3.4690927e+06,-3.8387383e+06
4.2673744e+05,4.5179188e+06,4.8978614e+03,2.2755380e+07,3.4809100e+07,3.4074270e+07,1.0879327e+06,3.1698867e+06,-3.8616393e+06
4.2677842e+05,4.5178913e+06,4.9077504e+03,2.2433387e+07,3.4762214e+07,3.4056034e+07,1.0780501e+06,3.1984190e+06,-4.0231623e+06
4.2677124e+05,4.5178746e+06,4.9010524e+03,2.2864754e+07,3.4220419e+07,3.3194441e+07,1.0473636e+06,3.5853167e+06,-3.7337778e+06
4.2679878e+05,4.5179213e+06,4.9039719e+03,2.2108066e+07,3.3871058e+07,3.2838280e+07,9.0698035e+05,3.6232897e+06,-3.6719853e+06
4.2675902e+05,4.5178809e+06,4.9126510e+03,2.3766387e+07,3.3957812e+07,3.3358083e+07,7.7212888e+05,3.5504612e+06,-3.5860016e+06
4.2673850e+05,4.5179085e+06,4.9218547e+03,2.4574754e+07,3.4295173e+07,3.3756652e+07,5.4145264e+05,3.3411706e+06,-3.5868066e+06
4.2676480e+05,4.5179036e+06,4.9014426e+03,2.3556085e+07,3.4396242e+07,3.3600292e+07,8.4460181e+05,3.3734326e+06,-3.7094913e+06
4.2677796e+05,4.5179586e+06,4.8854992e+03,2.3370000e+07,3.4260147e+07,3.3105173e+07,8.2158790e+05,3.4760543e+06,-3.5723191e+06
4.2675479e+05,4.5178794e+06,4.9067997e+03,2.3932688e+07,3.3431567e+07,3.2945033e+07,6.9217518e+05,3.7555246e+06,-3.3781209e+06
4.2675466e+05,4.5179296e+06,4.8895203e+03,2.3968270e+07,3.4373980e+07,3.3384249e+07,7.9114471e+05,3.4104696e+06,-3.5477043e+06
4.2676776e+05,4.5178900e+06,4.9183640e+03,2.3082429e+07,3.4660455e+07,3.3811482e+07,8.8826195e+05,3.2944375e+06,-3.8832872e+06
4.2674418e+05,4.5179299e+06,4.8922151e+03,2.3792426e+07,3.4020767e+07,3.2873922e+07,7.9327470e+05,3.6366661e+06,-3.4153293e+06
4.2680723e+05,4.5178097e+06,5.0035996e+03,2.2604942e+07,3.3186471e+07,3.2593128e+07,3.1877466e+05,3.9159413e+06,-3.7512198e+06
4.2678138e+05,4.5179253e+06,4.9226143e+03,2.2370836e+07,3.4319347e+07,3.2900207e+07,7.9492536e+05,3.5629555e+06,-3.7609603e+06
4.2676016e+05,4.5179232e+06,4.9033842e+03,2.3392352e+07,3.4541388e+07,3.3118096e+07,8.7359733e+05,3.4626669e+06,-3.6660411e+06
4.2680076e+05,4.5179285e+06,4.9187795e+03,2.1680103e+07,3.4125764e+07,3.2817335e+07,9.0046567e+05,3.6135250e+06,-3.8010477e+06
4.2680325e+05,4.5179459e+06,4.9696535e+03,2.1313286e+07,3.3298233e+07,3.1928230e+07,4.4594431e+05,3.9487173e+06,-3.6444823e+06
4.2680498e+05,4.5178841e+06,4.9239197e+03,2.2100474e+07,3.4083825e+07,3.3055671e+07,8.8161708e+05,3.5642768e+06,-3.8377954e+06
4.2675308e+05,4.5179663e+06,4.8835520e+03,2.2689039e+07,3.4388396e+07,3.2985323e+07,9.6168537e+05,3.4781639e+06,-3.5582859e+06
4.2677793e+05,4.5178885e+06,4.9144752e+03,2.2560863e+07,3.4580043e+07,3.3833917e+07,9.9203362e+05,3.2950965e+06,-3.9515211e+06
4.2675918e+05,4.5178805e+06,4.9021910e+03,2.3374231e+07,3.3892752e+07,3.3173097e+07,8.9025296e+05,3.6257980e+06,-3.5717325e+06
4.2681616e+05,4.5178870e+06,4.9050115e+03,2.1376091e+07,3.3296288e+07,3.2567405e+07,9.9151780e+05,3.7755789e+06,-3.6303396e+06
4.2678242e+05,4.5178584e+06,4.9397792e+03,2.3238067e+07,3.3625782e+07,3.2989662e+07,6.4614504e+05,3.7108448e+06,-3.6304009e+06
4.2676182e+05,4.5178996e+06,4.9456974e+03,2.3402807e+07,3.4014300e+07,3.3464950e+07,5.2729168e+05,3.4933287e+06,-3.7095272e+06
4.2678492e+05,4.5178801e+06,4.9279722e+03,2.3076507e+07,3.3958804e+07,3.3090094e+07,7.0552889e+05,3.5833194e+06,-3.6886293e+06
4.2679457e+05,4.5179620e+06,4.9243139e+03,2.2094162e+07,3.3829606e+07,3.2553830e+07,6.7514001e+05,3.6855229e+06,-3.6447589e+06
4.2675912e+05,4.5178912e+06,4.9165963e+03,2.3586187e+07,3.3547057e+07,3.2859354e+07,6.5757242e+05,3.7395658e+06,-3.4342880e+06
4.2675954e+05,4.5179101e+06,4.9022884e+03,2.3642491e+07,3.4108454e+07,3.3265770e+07,7.7320098e+05,3.5096621e+06,-3.5632713e+06
4.2676422e+05,4.5179013e+06,4.9292999e+03,2.3321566e+07,3.3974231e+07,3.2907096e+07,6.4500708e+05,3.6546618e+06,-3.5884368e+06
4.2675979e+05,4.5179459e+06,4.9037481e+03,2.3165126e+07,3.4039907e+07,3.2771444e+07,7.6250548e+05,3.6323391e+06,-3.5119123e+06
4.2678983e+05,4.5179099e+06,4.9442805e+03,2.2513599e+07,3.3635590e+07,3.2605812e+07,5.7647256e+05,3.7582978e+06,-3.6341383e+06
4.2677343e+05,4.5179298e+06,4.9225208e+03,2.2453155e+07,3.4291929e+07,3.2891001e+07,7.7858002e+05,3.5796381e+06,-3.7274213e+06
4.2678075e+05,4.5179143e+06,4.9040733e+03,2.2540004e+07,3.3829883e+07,3.2739478e+07,8.8468719e+05,3.6632230e+06,-3.5803455e+06
4.2678926e+05,4.5179188e+06,4.9258010e+03,2.2334589e+07,3.3900772e+07,3.2788631e+07,7.5144679e+05,3.6620232e+06,-3.6853932e+06
4.2680850e+05,4.5179460e+06,4.9705061e+03,2.1255562e+07,3.3305640e+07,3.1970336e+07,4.6776000e+05,3.9009685e+06,-3.6842777e+06
4.2679424e+05,4.5178954e+06,4.9467933e+03,2.2268327e+07,3.3642148e+07,3.2734430e+07,5.9502205e+05,3.7486246e+06,-3.6883435e+06
4.2671551e+05,4.5180426e+06,4.8526844e+03,2.3015065e+07,3.4734593e+07,3.3023582e+07,1.0232202e+06,3.3394383e+06,-3.3775713e+06
4.2678393e+05,4.5179231e+06,4.8762148e+03,2.1842432e+07,3.3654840e+07,3.2951130e+07,1.1356448e+06,3.6031845e+06,-3.5792468e+06
4.2675465e+05,4.5179131e+06,4.8834749e+03,2.2980385e+07,3.3902998e+07,3.2804101e+07,1.0161211e+06,3.6916063e+06,-3.4860953e+06
4.2683058e+05,4.5178753e+06,4.9279627e+03,2.1123569e+07,3.2758570e+07,3.2312740e+07,7.8207250e+05,3.9100503e+06,-3.5713942e+06
4.2679070e+05,4.5178672e+06,4.9305782e+03,2.2764055e+07,3.3537017e+07,3.2871363e+07,7.3199091e+05,3.7297005e+06,-3.6252564e+06
4.2676337e+05,4.5179014e+06,4.9469714e+03,2.3356769e+07,3.3874030e+07,3.3320477e+07,4.9747639e+05,3.5576026e+06,-3.6654924e+06
