xcen,ycen,depth,dP_mu
4.2631606e+05,4.5188268e+06,2.6066411e+03,3.1939851e-03
4.2633005e+05,4.5188343e+06,2.5551573e+03,3.1311575e-03
4.2634126e+05,4.5188299e+06,2.5883386e+03,3.1581465e-03
4.2632850e+05,4.5188445e+06,2.5979767e+03,3.1569389e-03
4.2631561e+05,4.5188291e+06,2.6114923e+03,3.1893667e-03
4.2632302e+05,4.5188331e+06,2.5931567e+03,3.1806788e-03
4.2633307e+05,4.5188311e+06,2.6078885e+03,3.1943553e-03
4.2632490e+05,4.5188175e+06,2.5856273e+03,3.1478620e-03
4.2632946e+05,4.5188252e+06,2.6064535e+03,3.1877032e-03
4.2632664e+05,4.5188482e+06,2.5587529e+03,3.1036159e-03
4.2633944e+05,4.5188305e+06,2.5899163e+03,3.1691504e-03
4.2633521e+05,4.5188412e+06,2.6035238e+03,3.1656195e-03
4.2632036e+05,4.5188255e+06,2.6207168e+03,3.2097999e-03
4.2631761e+05,4.5188370e+06,2.5970901e+03,3.1918422e-03
4.2633009e+05,4.5188277e+06,2.6152544e+03,3.2109564e-03
4.2632154e+05,4.5188168e+06,2.6078845e+03,3.1858161e-03
4.2632948e+05,4.5188405e+06,2.6168425e+03,3.1960866e-03
4.2633495e+05,4.5188493e+06,2.5540873e+03,3.1051605e-03
4.2633443e+05,4.5188238e+06,2.6019884e+03,3.1908504e-03
4.2633644e+05,4.5188416e+06,2.6059579e+03,3.1656687e-03
4.2633454e+05,4.5188196e+06,2.6214864e+03,3.2088001e-03
4.2632099e+05,4.5188409e+06,2.5961707e+03,3.1860346e-03
4.2633784e+05,4.5188251e+06,2.6129239e+03,3.2011202e-03
4.2632753e+05,4.5188314e+06,2.5952332e+03,3.1710402e-03
4.2633199e+05,4.5188460e+06,2.5953843e+03,3.1610866e-03
4.2633384e+05,4.5188297e+06,2.5699673e+03,3.1415948e-03
4.2634260e+05,4.5188253e+06,2.6041161e+03,3.1890581e-03
4.2633901e+05,4.5188453e+06,2.6040476e+03,3.1519153e-03
4.2633191e+05,4.5188245e+06,2.6056797e+03,3.1940768e-03
4.2632111e+05,4.5188449e+06,2.6052242e+03,3.1934297e-03
4.2633584e+05,4.5188329e+06,2.6120121e+03,3.2007061e-03
4.2632539e+05,4.5188118e+06,2.5985885e+03,3.1955658e-03
4.2632904e+05,4.5188337e+06,2.6019471e+03,3.1751070e-03
4.2633577e+05,4.5188284e+06,2.5814139e+03,3.1607238e-03
4.2634168e+05,4.5188177e+06,2.6017247e+03,3.1919011e-03
4.2633118e+05,4.5188328e+06,2.5996666e+03,3.1686094e-03
4.2632357e+05,4.5188232e+06,2.6328236e+03,3.2273224e-03
