func,iter,xtlc,ytlc,dtlc,length,opening
2.113509e+01,9,4.2557700e+05,4.5194906e+06,3.8032469e+03,1.2212417e+03,3.2653768e+00
2.114489e+01,11,4.2528605e+05,4.5194996e+06,3.9516872e+03,1.9727033e+03,2.2037756e+00
2.114965e+01,11,4.2537566e+05,4.5195069e+06,4.0389007e+03,1.5534037e+03,2.8520124e+00
2.115249e+01,11,4.2528770e+05,4.5194965e+06,3.9577308e+03,1.9635383e+03,2.2162985e+00
2.115452e+01,11,4.2547269e+05,4.5195633e+06,3.7186761e+03,1.4108521e+03,2.8393214e+00
2.115540e+01,10,4.2551975e+05,4.5195626e+06,3.8115715e+03,1.3870589e+03,3.0784204e+00
2.116852e+01,10,4.2549537e+05,4.5194499e+06,4.1049837e+03,1.4964484e+03,3.1070672e+00
2.117124e+01,10,4.2541494e+05,4.5194559e+06,3.8655557e+03,1.5265842e+03,2.7793499e+00
2.118005e+01,11,4.2516941e+05,4.5195021e+06,3.8492821e+03,1.9877953e+03,2.1327567e+00
2.118192e+01,11,4.2517696e+05,4.5194953e+06,3.8186195e+03,2.0247952e+03,2.0476211e+00
2.118271e+01,11,4.2524134e+05,4.5194789e+06,3.8217451e+03,1.9081403e+03,2.2181959e+00
2.118544e+01,10,4.2547485e+05,4.5194922e+06,3.7361513e+03,1.5359430e+03,2.6349905e+00
2.118571e+01,11,4.2567249e+05,4.5195550e+06,3.8761084e+03,1.3224149e+03,3.1827623e+00
2.119269e+01,9,4.2525245e+05,4.5195024e+06,3.9356236e+03,1.9725892e+03,2.1595598e+00
2.119624e+01,11,4.2544613e+05,4.5194382e+06,4.0571168e+03,1.4859330e+03,3.0611334e+00
2.119853e+01,10,4.2547419e+05,4.5194878e+06,3.8431664e+03,1.3377774e+03,3.0899999e+00
2.119990e+01,11,4.2547500e+05,4.5194517e+06,3.8806379e+03,1.3868503e+03,3.0670044e+00
2.120370e+01,10,4.2526466e+05,4.5195126e+06,3.9577288e+03,2.0406935e+03,2.1708364e+00
2.120897e+01,11,4.2521246e+05,4.5195529e+06,3.9001474e+03,2.0722783e+03,2.1538155e+00
2.121280e+01,10,4.2559041e+05,4.5196204e+06,3.8475985e+03,1.3567747e+03,3.0121107e+00
2.121415e+01,11,4.2520887e+05,4.5195446e+06,3.8972480e+03,2.0048172e+03,2.2224927e+00
2.122294e+01,11,4.2503171e+05,4.5195742e+06,3.7684931e+03,2.3423748e+03,1.7497918e+00
2.123668e+01,11,4.2557806e+05,4.5195847e+06,3.9133590e+03,1.3440178e+03,3.0504479e+00
2.123837e+01,6,4.2567653e+05,4.5195964e+06,3.9608731e+03,1.2670970e+03,3.4004281e+00
2.123872e+01,11,4.2529509e+05,4.5195687e+06,3.8882323e+03,1.9518582e+03,2.1386098e+00
2.124012e+01,11,4.2563696e+05,4.5195962e+06,3.7974182e+03,1.3533125e+03,3.0293496e+00
2.124105e+01,11,4.2569678e+05,4.5196141e+06,3.8063855e+03,1.0937132e+03,3.8155146e+00
2.124452e+01,10,4.2520164e+05,4.5195662e+06,3.9675689e+03,1.9716013e+03,2.2039299e+00
2.125648e+01,9,4.2571188e+05,4.5195389e+06,4.1036059e+03,1.1785548e+03,3.7883353e+00
2.126138e+01,11,4.2566997e+05,4.5195521e+06,4.0383285e+03,1.1027646e+03,3.8531666e+00
2.126208e+01,11,4.2509968e+05,4.5195292e+06,3.7965789e+03,2.2563766e+03,1.9086346e+00
2.126576e+01,11,4.2500735e+05,4.5195734e+06,3.6994378e+03,2.4076464e+03,1.6732067e+00
2.127046e+01,11,4.2552942e+05,4.5195075e+06,4.1511893e+03,1.4749549e+03,3.1152543e+00
2.127254e+01,5,4.2558852e+05,4.5195354e+06,4.1497561e+03,1.2454284e+03,3.7900950e+00
