xcen,ycen,depth,radius,dP_mu
4.2637434e+05,4.5181612e+06,5.7214880e+03,2.0050728e+03,5.4291265e-04
4.2651011e+05,4.5188755e+06,2.6550461e+03,7.3237028e+02,4.0333380e-03
4.2648716e+05,4.5188473e+06,2.8326764e+03,7.7744003e+02,3.8337759e-03
4.2621591e+05,4.5183107e+06,5.5392557e+03,1.6975054e+03,7.8745399e-04
4.2641950e+05,4.5187700e+06,3.2873770e+03,8.9298321e+02,3.3259170e-03
4.2663198e+05,4.5180066e+06,5.7782109e+03,2.2471091e+03,4.0343752e-04
4.2650717e+05,4.5188593e+06,2.7872661e+03,7.6966681e+02,3.8572411e-03
4.2653998e+05,4.5180356e+06,5.7557777e+03,2.1635988e+03,4.5668938e-04
4.2650666e+05,4.5188668e+06,2.7112622e+03,7.4785400e+02,3.9679036e-03
4.2648139e+05,4.5188617e+06,2.7410993e+03,7.5054417e+02,3.9735370e-03
4.2648420e+05,4.5188283e+06,2.8249708e+03,7.7974508e+02,3.8310179e-03
4.2649166e+05,4.5188228e+06,2.8060215e+03,7.7809123e+02,3.8410229e-03
4.2629727e+05,4.5182339e+06,5.6328343e+03,1.8554452e+03,6.6187883e-04
4.2650994e+05,4.5188728e+06,2.6673516e+03,7.3708490e+02,4.0190966e-03
4.2648921e+05,4.5188362e+06,2.8163833e+03,7.7614629e+02,3.8410913e-03
4.2620188e+05,4.5183239e+06,5.5231102e+03,1.6702556e+03,8.0911985e-04
4.2649174e+05,4.5188504e+06,2.8051436e+03,7.7143837e+02,3.8629847e-03
4.2663198e+05,4.5180066e+06,5.7782109e+03,2.2471091e+03,4.0343752e-04
4.2650491e+05,4.5188593e+06,2.7777696e+03,7.6645320e+02,3.8749045e-03
4.2644276e+05,4.5181185e+06,5.6888766e+03,2.0217430e+03,5.5802717e-04
4.2649631e+05,4.5188541e+06,2.7467735e+03,7.5676946e+02,3.9313831e-03
4.2647640e+05,4.5188675e+06,2.7232367e+03,7.4346621e+02,4.0116106e-03
4.2648633e+05,4.5188271e+06,2.8191028e+03,7.7904675e+02,3.8347497e-03
4.2650145e+05,4.5188272e+06,2.7776153e+03,7.7404271e+02,3.8651276e-03
4.2629727e+05,4.5182339e+06,5.6328343e+03,1.8554452e+03,6.6187883e-04
4.2648948e+05,4.5188496e+06,2.7527235e+03,7.5753270e+02,3.9324403e-03
4.2647945e+05,4.5188098e+06,2.8437228e+03,7.8433424e+02,3.8039836e-03
4.2622634e+05,4.5183685e+06,5.2925910e+03,1.5941770e+03,1.0684723e-03
4.2649571e+05,4.5188555e+06,2.7585521e+03,7.5937329e+02,3.9189984e-03
4.2662564e+05,4.5180112e+06,5.7744523e+03,2.2386099e+03,4.0941472e-04
4.2649673e+05,4.5188438e+06,2.7960352e+03,7.7231229e+02,3.8564422e-03
4.2641050e+05,4.5181480e+06,5.6607662e+03,1.9758402e+03,5.9889504e-04
4.2650061e+05,4.5188637e+06,2.7107876e+03,7.4633954e+02,3.9773212e-03
4.2646915e+05,4.5188477e+06,2.7590074e+03,7.5586499e+02,3.9652656e-03
4.2649053e+05,4.5188351e+06,2.7704704e+03,7.7042138e+02,3.8991118e-03
4.2649945e+05,4.5188386e+06,2.7633298e+03,7.6647832e+02,3.8944069e-03
4.2627924e+05,4.5182681e+06,5.5463857e+03,1.7890625e+03,7.6518565e-04
4.2648857e+05,4.5188491e+06,2.7506819e+03,7.5686199e+02,3.9362632e-03
