xcen,ycen,depth,dVol
4.2637866e+05,4.5185706e+06,2.9267997e+03,5.9809207e+06
4.2644406e+05,4.5185713e+06,2.8891596e+03,5.9893953e+06
4.2636824e+05,4.5185613e+06,2.8991794e+03,5.9164055e+06
4.2642911e+05,4.5186017e+06,2.9363104e+03,6.0551072e+06
4.2642247e+05,4.5185851e+06,2.9299943e+03,6.0119439e+06
4.2641654e+05,4.5185740e+06,2.9204786e+03,6.0138655e+06
4.2641692e+05,4.5185847e+06,2.9115130e+03,6.0116484e+06
4.2644415e+05,4.5185872e+06,2.9087141e+03,6.0200968e+06
4.2639696e+05,4.5185885e+06,2.9331272e+03,5.9954450e+06
4.2640818e+05,4.5185879e+06,2.9112632e+03,5.9961529e+06
4.2637927e+05,4.5185706e+06,2.9232030e+03,5.9736592e+06
4.2643853e+05,4.5185734e+06,2.8974690e+03,5.9945020e+06
4.2630756e+05,4.5185738e+06,2.8575429e+03,5.8743027e+06
4.2638077e+05,4.5186055e+06,2.9183318e+03,6.0230788e+06
4.2642127e+05,4.5186018e+06,2.9442466e+03,6.0299033e+06
4.2642157e+05,4.5185855e+06,2.9204149e+03,6.0136141e+06
4.2626278e+05,4.5186119e+06,2.8894806e+03,5.9367398e+06
4.2638121e+05,4.5185840e+06,2.9092440e+03,5.9665428e+06
4.2632137e+05,4.5186007e+06,2.9139168e+03,5.9384795e+06
4.2636402e+05,4.5185983e+06,2.9089492e+03,5.9819740e+06
4.2632964e+05,4.5185905e+06,2.9134536e+03,5.9470984e+06
4.2634927e+05,4.5186033e+06,2.8921648e+03,5.9736962e+06
4.2630325e+05,4.5185943e+06,2.8818289e+03,5.9213417e+06
4.2630851e+05,4.5186028e+06,2.8930499e+03,5.9459575e+06
4.2635803e+05,4.5186036e+06,2.9224393e+03,5.9945465e+06
4.2632204e+05,4.5186061e+06,2.9100104e+03,5.9789561e+06
4.2627545e+05,4.5186173e+06,2.8841058e+03,5.9366916e+06
4.2628429e+05,4.5186061e+06,2.9081952e+03,5.9154162e+06
4.2627187e+05,4.5186125e+06,2.8954299e+03,5.9034348e+06
4.2633200e+05,4.5186048e+06,2.8989415e+03,5.9637590e+06
4.2628603e+05,4.5186137e+06,2.8937346e+03,5.9314725e+06
4.2632779e+05,4.5186032e+06,2.8884654e+03,5.9512309e+06
4.2630378e+05,4.5186046e+06,2.8811222e+03,5.9357092e+06
4.2627863e+05,4.5186172e+06,2.8800118e+03,5.9289591e+06
4.2626360e+05,4.5186741e+06,2.8736809e+03,6.0015485e+06
4.2629167e+05,4.5186067e+06,2.8957036e+03,5.9255105e+06
4.2628414e+05,4.5186258e+06,2.8735814e+03,5.9563244e+06
4.2627842e+05,4.5186193e+06,2.8985901e+03,5.9169567e+06
4.2628156e+05,4.5186174e+06,2.8857793e+03,5.9250556e+06
4.2629615e+05,4.5186254e+06,2.8980849e+03,5.9613331e+06
4.2628792e+05,4.5186147e+06,2.8932213e+03,5.9347114e+06
4.2629741e+05,4.5186257e+06,2.8813679e+03,5.9531512e+06
4.2629506e+05,4.5186196e+06,2.8771003e+03,5.9510787e+06
4.2626825e+05,4.5186285e+06,2.8900589e+03,5.9253454e+06
4.2626654e+05,4.5186632e+06,2.8906144e+03,5.9811965e+06
4.2628878e+05,4.5186092e+06,2.8923441e+03,5.9261171e+06
4.2625248e+05,4.5186607e+06,2.8752196e+03,5.9757297e+06
4.2627696e+05,4.5186324e+06,2.9109342e+03,5.9149049e+06
4.2624773e+05,4.5186628e+06,2.8770119e+03,5.9577538e+06
4.2626663e+05,4.5186483e+06,2.9023580e+03,5.9521833e+06
4.2627906e+05,4.5186299e+06,2.8952817e+03,5.9514853e+06
4.2628493e+05,4.5186386e+06,2.8898919e+03,5.9523551e+06
4.2627153e+05,4.5186533e+06,2.8839968e+03,5.9730250e+06
4.2628104e+05,4.5186297e+06,2.8832306e+03,5.9373928e+06
4.2625963e+05,4.5186790e+06,2.8933869e+03,5.9979303e+06
4.2625361e+05,4.5186748e+06,2.9199014e+03,5.9924470e+06
4.2626370e+05,4.5186494e+06,2.8846508e+03,5.9622784e+06
4.2627439e+05,4.5186389e+06,2.8935829e+03,5.9431425e+06
4.2625597e+05,4.5186614e+06,2.8935292e+03,5.9623773e+06
4.2625654e+05,4.5186587e+06,2.8992762e+03,5.9571193e+06
4.2626812e+05,4.5186500e+06,2.8886290e+03,5.9642471e+06
4.2628452e+05,4.5186439e+06,2.8867579e+03,5.9596136e+06
4.2626328e+05,4.5186582e+06,2.8790884e+03,5.9734095e+06
4.2626619e+05,4.5186518e+06,2.8784368e+03,5.9606782e+06
4.2626133e+05,4.5186917e+06,2.9058458e+03,6.0135908e+06
4.2625243e+05,4.5186672e+06,2.8921305e+03,5.9711342e+06
4.2624861e+05,4.5186748e+06,2.8938592e+03,5.9756364e+06
4.2626016e+05,4.5186720e+06,2.8981479e+03,5.9827990e+06
4.2626032e+05,4.5186632e+06,2.8836251e+03,5.9719220e+06
4.2625452e+05,4.5186645e+06,2.8954458e+03,5.9632055e+06
4.2626258e+05,4.5186711e+06,2.8980471e+03,5.9836893e+06
4.2626894e+05,4.5186579e+06,2.8865610e+03,5.9669506e+06
4.2626332e+05,4.5186659e+06,2.8877765e+03,5.9781428e+06
4.2627375e+05,4.5186533e+06,2.8879992e+03,5.9668828e+06
4.2626527e+05,4.5186937e+06,2.9054480e+03,6.0190601e+06
4.2626336e+05,4.5186839e+06,2.9019070e+03,6.0039083e+06
4.2624507e+05,4.5186799e+06,2.8937082e+03,5.9799618e+06
4.2627264e+05,4.5186750e+06,2.9078458e+03,5.9988697e+06
4.2626756e+05,4.5186713e+06,2.8933691e+03,5.9892120e+06
4.2625670e+05,4.5186821e+06,2.9120573e+03,5.9898873e+06
4.2626040e+05,4.5186979e+06,2.9081322e+03,6.0190665e+06
4.2627178e+05,4.5186738e+06,2.8905497e+03,5.9951374e+06
4.2626467e+05,4.5186686e+06,2.8859433e+03,5.9845149e+06
4.2627759e+05,4.5186516e+06,2.8908811e+03,5.9675529e+06
4.2627351e+05,4.5186920e+06,2.9069767e+03,6.0220150e+06
4.2627182e+05,4.5186873e+06,2.9138719e+03,6.0148888e+06
4.2625165e+05,4.5186798e+06,2.8976079e+03,5.9863030e+06
4.2627099e+05,4.5186855e+06,2.9167159e+03,6.0136733e+06
4.2626289e+05,4.5186908e+06,2.9093977e+03,6.0117211e+06
4.2625989e+05,4.5186861e+06,2.9130200e+03,5.9988034e+06
4.2626350e+05,4.5187002e+06,2.9161618e+03,6.0264658e+06
4.2628751e+05,4.5186819e+06,2.9077816e+03,6.0195712e+06
4.2626642e+05,4.5186801e+06,2.9023049e+03,6.0007377e+06
4.2627935e+05,4.5186557e+06,2.8949349e+03,5.9735162e+06
4.2626894e+05,4.5186888e+06,2.9073092e+03,6.0131703e+06
4.2628063e+05,4.5186927e+06,2.9226555e+03,6.0332017e+06
