xcen,ycen,depth,radius,dP_mu
4.2851508e+05,4.5179687e+06,5.5047881e+03,2.9101318e+03,1.4578920e-04
4.2866389e+05,4.5180918e+06,5.4350983e+03,2.8115063e+03,1.6438191e-04
4.2862849e+05,4.5182541e+06,5.4220283e+03,2.8036839e+03,1.5829684e-04
4.2617108e+05,4.5186552e+06,3.8438279e+03,1.0001890e+03,3.3152706e-03
4.2843863e+05,4.5182120e+06,5.4932248e+03,2.9107723e+03,1.3345294e-04
4.2617256e+05,4.5186623e+06,3.8248928e+03,9.9312622e+02,3.3901855e-03
4.2617401e+05,4.5186561e+06,3.8437748e+03,9.9926664e+02,3.3233587e-03
4.2616462e+05,4.5186658e+06,3.8207920e+03,9.8531616e+02,3.4484978e-03
4.2617992e+05,4.5186435e+06,3.8809218e+03,1.0073384e+03,3.3214786e-03
4.2863282e+05,4.5176238e+06,5.5190023e+03,2.9048103e+03,1.6299745e-04
4.2617384e+05,4.5186530e+06,3.8523167e+03,1.0051671e+03,3.2833090e-03
4.2616849e+05,4.5186623e+06,3.8165890e+03,9.9075533e+02,3.3985418e-03
4.2821689e+05,4.5177312e+06,5.6424669e+03,3.1059967e+03,1.0932731e-04
4.2866332e+05,4.5179975e+06,5.4500416e+03,2.8272921e+03,1.6490305e-04
4.2851948e+05,4.5182431e+06,5.4601110e+03,2.8626386e+03,1.4509027e-04
4.2617155e+05,4.5186496e+06,3.8510686e+03,1.0059214e+03,3.2505319e-03
4.2832473e+05,4.5183002e+06,5.5184410e+03,2.9565151e+03,1.1744897e-04
4.2617049e+05,4.5186708e+06,3.7981421e+03,9.8340324e+02,3.4856823e-03
4.2617274e+05,4.5186606e+06,3.8241426e+03,9.9338637e+02,3.3684453e-03
4.2616432e+05,4.5186652e+06,3.8228103e+03,9.8597590e+02,3.4426612e-03
4.2618007e+05,4.5186429e+06,3.8830861e+03,1.0075098e+03,3.3255051e-03
4.2862759e+05,4.5176327e+06,5.5193720e+03,2.9060941e+03,1.6226567e-04
4.2617559e+05,4.5186500e+06,3.8636871e+03,1.0095228e+03,3.2498509e-03
4.2616926e+05,4.5186646e+06,3.8106216e+03,9.8846502e+02,3.4142743e-03
4.2821689e+05,4.5177312e+06,5.6424669e+03,3.1059967e+03,1.0932731e-04
