func,iter,xcen,ycen,depth,Pxx,Pyy,Pzz
1.974034e+01,13,4.2621727e+05,4.5185842e+06,3.5777007e+03,1.8753737e+07,2.1560733e+07,2.6050422e+07
1.974405e+01,12,4.2630917e+05,4.5184091e+06,3.9370243e+03,1.7124296e+07,1.9395260e+07,2.5334975e+07
1.981305e+01,13,4.2623813e+05,4.5185056e+06,4.1415436e+03,1.6568147e+07,2.2835787e+07,2.9358000e+07
1.981885e+01,13,4.2608645e+05,4.5185834e+06,3.9511639e+03,1.5779255e+07,2.3320100e+07,2.6361624e+07
1.982715e+01,13,4.2639608e+05,4.5185899e+06,4.1696277e+03,1.6988781e+07,2.0488592e+07,2.8634224e+07
1.986258e+01,13,4.2632914e+05,4.5185873e+06,4.1305550e+03,1.6741539e+07,1.7027996e+07,2.8518197e+07
1.989275e+01,13,4.2617047e+05,4.5186868e+06,3.9658800e+03,1.4923467e+07,2.2642276e+07,2.5797600e+07
1.990582e+01,13,4.2644448e+05,4.5185404e+06,3.9777722e+03,1.6063478e+07,1.7701154e+07,2.5362342e+07
1.991104e+01,10,4.2616558e+05,4.5186714e+06,3.8477160e+03,1.4340247e+07,2.3563863e+07,2.5926658e+07
1.992927e+01,13,4.2635729e+05,4.5188873e+06,3.6066133e+03,1.4412158e+07,1.8767661e+07,2.3989608e+07
1.993871e+01,12,4.2625764e+05,4.5185908e+06,4.4099248e+03,1.2243372e+07,1.7494751e+07,2.9062114e+07
1.995365e+01,13,4.2616674e+05,4.5184322e+06,3.8603201e+03,1.8504022e+07,2.3892567e+07,2.7354108e+07
1.999451e+01,13,4.2629229e+05,4.5186617e+06,3.9804964e+03,1.9818862e+07,2.2601588e+07,2.9200460e+07
2.001865e+01,11,4.2611519e+05,4.5185341e+06,4.3009466e+03,1.4931184e+07,1.8727942e+07,2.8767630e+07
2.003528e+01,13,4.2614849e+05,4.5185844e+06,4.0343362e+03,2.0501960e+07,2.4761048e+07,2.8378843e+07
2.006766e+01,13,4.2641174e+05,4.5185331e+06,3.9961605e+03,1.6429369e+07,1.8140101e+07,2.5243220e+07
2.010047e+01,13,4.2653315e+05,4.5187210e+06,3.6718675e+03,1.7439125e+07,1.8311650e+07,2.3781883e+07
2.014341e+01,13,4.2617416e+05,4.5186324e+06,4.1043294e+03,1.8939920e+07,1.8796257e+07,2.6876993e+07
2.015640e+01,13,4.2629946e+05,4.5185740e+06,3.7810055e+03,2.3491572e+07,2.2888329e+07,2.6150661e+07
2.016791e+01,12,4.2625241e+05,4.5188909e+06,3.7883306e+03,1.4795748e+07,1.8914714e+07,2.4758086e+07
2.020743e+01,13,4.2625637e+05,4.5184195e+06,3.7431295e+03,1.7918663e+07,2.0167203e+07,2.3420828e+07
2.025448e+01,13,4.2627100e+05,4.5184308e+06,4.1356453e+03,1.5214837e+07,2.1898021e+07,2.8449218e+07
2.026617e+01,13,4.2645105e+05,4.5186579e+06,4.0198811e+03,1.7258377e+07,2.1053651e+07,2.7798851e+07
2.030191e+01,12,4.2636943e+05,4.5185952e+06,4.0406431e+03,1.8713866e+07,2.4323336e+07,2.7789099e+07
