depth,Pxx,Pyy,Pzz,Pxy,Pyz,Pzx
4.1285836e+03,2.3385772e+07,3.1595349e+07,3.0088684e+07,-8.0600115e+06,-3.0120746e+06,2.0841802e+06
4.0556487e+03,2.3386781e+07,3.0499963e+07,2.9379303e+07,-7.8952449e+06,-3.0981242e+06,2.1227481e+06
4.0651984e+03,2.3641938e+07,3.0412919e+07,2.9522159e+07,-7.8123186e+06,-3.1525267e+06,2.1303086e+06
4.0890777e+03,2.2971778e+07,3.0100463e+07,2.9458919e+07,-7.8855127e+06,-2.8827591e+06,2.3723846e+06
3.9723949e+03,2.2391417e+07,2.8681419e+07,2.7981095e+07,-8.1119381e+06,-3.0763954e+06,2.0585410e+06
3.9676282e+03,2.1922020e+07,2.8665988e+07,2.7711642e+07,-8.2816024e+06,-2.9034612e+06,2.0762059e+06
3.9882609e+03,2.1913028e+07,2.8372133e+07,2.7883070e+07,-8.2303773e+06,-2.9024402e+06,2.2352534e+06
4.0135121e+03,2.2831382e+07,2.9223212e+07,2.8559744e+07,-7.9959764e+06,-3.0435338e+06,2.1326604e+06
4.0012133e+03,2.3515786e+07,2.8842108e+07,2.8624289e+07,-7.6125043e+06,-3.0699173e+06,2.1475489e+06
4.0131657e+03,2.2959711e+07,2.8954474e+07,2.8558129e+07,-7.8505446e+06,-3.0035157e+06,2.1814652e+06
4.0936465e+03,2.2154799e+07,2.9362433e+07,2.8950109e+07,-8.2954389e+06,-2.8311274e+06,2.3302866e+06
3.9161910e+03,2.2184224e+07,2.6732713e+07,2.7161160e+07,-7.7256624e+06,-2.8668678e+06,2.3355971e+06
3.9481819e+03,2.2807264e+07,2.9239987e+07,2.8180916e+07,-7.8545702e+06,-3.1343280e+06,2.0618069e+06
4.0816611e+03,2.3106877e+07,3.0365172e+07,2.9383821e+07,-8.0349298e+06,-3.0115055e+06,2.1303548e+06
4.0821849e+03,2.3637743e+07,3.1493448e+07,2.9790052e+07,-7.8715687e+06,-3.0261060e+06,1.9796865e+06
4.0204243e+03,2.2758134e+07,2.9315118e+07,2.8647856e+07,-7.9634671e+06,-2.9809942e+06,2.2167130e+06
4.0044999e+03,2.3324363e+07,2.9326412e+07,2.8781196e+07,-7.7139407e+06,-3.1169997e+06,2.1963694e+06
4.0165970e+03,2.2879344e+07,2.9190361e+07,2.8648414e+07,-7.8828378e+06,-2.9940588e+06,2.2262502e+06
3.9658908e+03,2.2107434e+07,2.8684455e+07,2.7791408e+07,-8.2326230e+06,-3.0091756e+06,2.0313309e+06
3.9782199e+03,2.2263597e+07,2.8720077e+07,2.7929860e+07,-8.1455718e+06,-2.9328466e+06,2.0931735e+06
3.9492086e+03,2.1038893e+07,2.7189109e+07,2.7051091e+07,-8.3820392e+06,-2.7486111e+06,2.3546793e+06
3.9986554e+03,2.2839054e+07,2.9186724e+07,2.8444386e+07,-7.9910994e+06,-3.0821887e+06,2.0850520e+06
3.9917713e+03,2.3199108e+07,2.8681348e+07,2.8360371e+07,-7.7508867e+06,-3.0344079e+06,2.0940987e+06
3.9829902e+03,2.3155918e+07,2.7771688e+07,2.8189366e+07,-7.4797085e+06,-2.9206473e+06,2.3017787e+06
4.0253915e+03,2.1627306e+07,2.7841161e+07,2.7864052e+07,-8.2840951e+06,-2.7021721e+06,2.3365076e+06
3.8830625e+03,2.1502288e+07,2.5702444e+07,2.6474692e+07,-7.7207096e+06,-2.6580448e+06,2.4527843e+06
3.9738021e+03,2.2408397e+07,2.8540590e+07,2.8008802e+07,-7.9604812e+06,-2.9492528e+06,2.1831597e+06
3.9822048e+03,2.1636822e+07,2.8023101e+07,2.7644156e+07,-8.3209324e+06,-2.8647160e+06,2.2488494e+06
3.9268100e+03,2.1997727e+07,2.6998308e+07,2.7225165e+07,-7.7732517e+06,-2.7750029e+06,2.3453392e+06
3.9912508e+03,2.2607319e+07,2.8836620e+07,2.8262410e+07,-7.9102521e+06,-2.9344248e+06,2.1927355e+06
3.9692573e+03,2.2110949e+07,2.8192630e+07,2.7776419e+07,-8.1068942e+06,-2.9338626e+06,2.2146532e+06
4.0007578e+03,2.2688749e+07,2.8941388e+07,2.8401158e+07,-7.9249538e+06,-2.9701247e+06,2.2197123e+06
3.9718037e+03,2.1736554e+07,2.8446784e+07,2.7619670e+07,-8.3918431e+06,-2.9495250e+06,2.0457672e+06
3.9746612e+03,2.2088460e+07,2.9003072e+07,2.7833102e+07,-8.2868305e+06,-2.9045484e+06,1.9961369e+06
3.9537610e+03,2.1196233e+07,2.6913370e+07,2.7082647e+07,-8.2194832e+06,-2.6912682e+06,2.4002561e+06
3.9954042e+03,2.2452896e+07,2.8632183e+07,2.8151072e+07,-8.0264108e+06,-2.9403872e+06,2.1670987e+06
3.9706198e+03,2.1682593e+07,2.7059317e+07,2.7396754e+07,-7.9348817e+06,-2.6343978e+06,2.4063414e+06
3.9548213e+03,2.2247045e+07,2.7616172e+07,2.7631811e+07,-7.8528313e+06,-2.8621836e+06,2.2946732e+06
3.9554174e+03,2.1243928e+07,2.6478677e+07,2.6980379e+07,-8.0407887e+06,-2.5543680e+06,2.4325137e+06
3.8287944e+03,2.1254361e+07,2.5085708e+07,2.5826344e+07,-7.5957906e+06,-2.5560895e+06,2.3784079e+06
3.9965354e+03,2.2158340e+07,3.0404117e+07,2.8149873e+07,-8.1275880e+06,-2.6157189e+06,1.6666687e+06
4.0044288e+03,2.1857507e+07,2.8072695e+07,2.7869350e+07,-8.2178645e+06,-2.8116502e+06,2.2702616e+06
3.8453585e+03,2.0603825e+07,2.4893203e+07,2.5846125e+07,-7.7024175e+06,-2.4183333e+06,2.6712009e+06
4.0118250e+03,2.2316645e+07,2.8749672e+07,2.8250054e+07,-8.0847250e+06,-2.8823870e+06,2.2114439e+06
3.9709001e+03,2.2137207e+07,2.7986475e+07,2.7761467e+07,-8.0022233e+06,-2.8669057e+06,2.2614860e+06
4.0009268e+03,2.2252491e+07,2.8588942e+07,2.8099696e+07,-8.0615510e+06,-2.8484093e+06,2.1999615e+06
3.9799474e+03,2.1954774e+07,2.8456566e+07,2.7806954e+07,-8.2244370e+06,-2.9151861e+06,2.1304398e+06
3.9365791e+03,2.1991349e+07,2.7959646e+07,2.7368039e+07,-7.9996177e+06,-2.7741116e+06,2.1485564e+06
3.9542763e+03,2.1333843e+07,2.6979057e+07,2.7114671e+07,-8.0950527e+06,-2.6268317e+06,2.3567902e+06
3.9659463e+03,2.1808389e+07,2.7647592e+07,2.7535615e+07,-8.0673477e+06,-2.7943562e+06,2.2985766e+06
3.9325519e+03,1.9390793e+07,2.2027111e+07,2.5174762e+07,-7.8694656e+06,-1.7691799e+06,3.0012089e+06
3.9472661e+03,2.1403840e+07,2.6101376e+07,2.6963300e+07,-7.8237350e+06,-2.5229713e+06,2.5348447e+06
3.9296458e+03,2.0166387e+07,2.4363696e+07,2.5940567e+07,-8.0383426e+06,-2.1823803e+06,2.6712453e+06
3.8038621e+03,2.0595918e+07,2.3643637e+07,2.5125288e+07,-7.5583052e+06,-2.3614975e+06,2.5362263e+06
3.9965354e+03,2.2158340e+07,3.0404117e+07,2.8149873e+07,-8.1275880e+06,-2.6157189e+06,1.6666687e+06
3.9419702e+03,2.1551563e+07,2.6854272e+07,2.7077330e+07,-7.9959290e+06,-2.6825719e+06,2.3358475e+06
3.8920602e+03,2.0840477e+07,2.5159917e+07,2.6242840e+07,-7.7350269e+06,-2.3920495e+06,2.6480982e+06
3.9586662e+03,2.1894829e+07,2.7612580e+07,2.7486534e+07,-7.9594182e+06,-2.7375610e+06,2.2868122e+06
3.9612137e+03,2.1553862e+07,2.7028630e+07,2.7257762e+07,-8.0038521e+06,-2.6373398e+06,2.3740741e+06
3.9399948e+03,2.0830163e+07,2.5902105e+07,2.6672034e+07,-7.8845872e+06,-2.3310934e+06,2.5903140e+06
3.8846691e+03,1.9948108e+07,2.3023229e+07,2.5302531e+07,-7.7347733e+06,-2.0166481e+06,2.8153827e+06
3.9468143e+03,2.1042207e+07,2.7050487e+07,2.6711967e+07,-8.1044402e+06,-2.3093615e+06,2.1094932e+06
3.8692106e+03,1.9154219e+07,2.2031000e+07,2.4586161e+07,-7.9894619e+06,-1.8716516e+06,2.7996722e+06
3.9443612e+03,2.1099204e+07,2.6193485e+07,2.6830259e+07,-7.9556211e+06,-2.4811808e+06,2.4990654e+06
3.9333649e+03,2.0240318e+07,2.4480596e+07,2.5971322e+07,-7.9490880e+06,-2.1032421e+06,2.6115337e+06
3.9396126e+03,2.1142105e+07,2.5821200e+07,2.6741437e+07,-7.8803255e+06,-2.4688840e+06,2.5430942e+06
3.8939772e+03,1.8981134e+07,2.2118607e+07,2.4700887e+07,-8.1134718e+06,-1.8156045e+06,2.8349450e+06
3.8850472e+03,2.0910400e+07,2.5713820e+07,2.6174990e+07,-7.7794927e+06,-2.3622242e+06,2.3643585e+06
3.9505520e+03,2.0857248e+07,2.6434241e+07,2.6653983e+07,-8.0173591e+06,-2.2784810e+06,2.2871385e+06
3.8909117e+03,1.9919017e+07,2.3217742e+07,2.5353010e+07,-7.7999262e+06,-2.0183898e+06,2.7785272e+06
3.8960137e+03,2.0577404e+07,2.5036657e+07,2.6039514e+07,-7.7981228e+06,-2.2363978e+06,2.5739217e+06
3.9255331e+03,2.0761196e+07,2.5273998e+07,2.6324193e+07,-7.9339000e+06,-2.3478026e+06,2.5344599e+06
3.9375695e+03,2.0784021e+07,2.5788144e+07,2.6493733e+07,-7.9934078e+06,-2.3378432e+06,2.4552349e+06
3.9363314e+03,2.0503275e+07,2.5692662e+07,2.6295606e+07,-7.9907961e+06,-2.1618654e+06,2.4115641e+06
3.8611862e+03,1.8936929e+07,2.1031225e+07,2.4260997e+07,-7.7954045e+06,-1.6797053e+06,2.9607788e+06
3.9440260e+03,2.0190598e+07,2.4984691e+07,2.5469679e+07,-8.3259954e+06,-1.8514075e+06,1.8943083e+06
3.8774344e+03,1.8935604e+07,2.1996149e+07,2.4500563e+07,-8.0515031e+06,-1.7630113e+06,2.7738166e+06
3.9584083e+03,2.0507404e+07,2.5657652e+07,2.6459892e+07,-8.0458590e+06,-2.1662554e+06,2.4855412e+06
3.9114797e+03,1.9565298e+07,2.3286103e+07,2.5246675e+07,-8.0416892e+06,-1.9221285e+06,2.6546606e+06
3.9104380e+03,1.9987464e+07,2.3886292e+07,2.5554773e+07,-7.9745283e+06,-2.0554490e+06,2.6101855e+06
3.9238534e+03,2.0200841e+07,2.4417301e+07,2.5693077e+07,-8.0444720e+06,-2.0493389e+06,2.4182523e+06
3.8874228e+03,1.9849657e+07,2.3400488e+07,2.5269865e+07,-7.8710761e+06,-2.0029685e+06,2.6597384e+06
3.9672137e+03,1.9467184e+07,2.4657617e+07,2.5443508e+07,-8.4718819e+06,-1.7175418e+06,2.1351557e+06
3.8955183e+03,1.9963122e+07,2.3503855e+07,2.5440806e+07,-7.8596650e+06,-2.0523023e+06,2.7231552e+06
3.8830476e+03,2.0260963e+07,2.4537262e+07,2.5712753e+07,-7.8124988e+06,-2.1410183e+06,2.6044848e+06
3.8989101e+03,1.9931151e+07,2.3694987e+07,2.5453313e+07,-7.9384300e+06,-2.0598964e+06,2.6603028e+06
3.9039087e+03,2.1308819e+07,2.5559593e+07,2.6214598e+07,-7.7760946e+06,-2.3512268e+06,2.2151953e+06
3.9625060e+03,1.9772917e+07,2.4803652e+07,2.5928009e+07,-8.1907946e+06,-1.8974985e+06,2.5053325e+06
3.8592705e+03,1.8672582e+07,2.0525934e+07,2.3971611e+07,-7.8331987e+06,-1.5642238e+06,2.9522083e+06
3.9372423e+03,1.9918560e+07,2.4058307e+07,2.4865538e+07,-8.4250193e+06,-1.6668006e+06,1.7421065e+06
3.9324111e+03,1.9506014e+07,2.3969157e+07,2.5093819e+07,-8.3382506e+06,-1.7502311e+06,2.1816854e+06
3.9505836e+03,2.0530563e+07,2.5308878e+07,2.5901098e+07,-8.1845318e+06,-2.0035996e+06,2.0595951e+06
3.9132650e+03,2.0573955e+07,2.4855921e+07,2.5884800e+07,-7.9141770e+06,-2.1490544e+06,2.3666938e+06
3.9174168e+03,1.9901091e+07,2.3682631e+07,2.5212074e+07,-8.1369889e+06,-1.9028029e+06,2.3351713e+06
3.9820130e+03,1.8874045e+07,2.3011464e+07,2.4840583e+07,-8.6405023e+06,-1.5205195e+06,2.2456862e+06
