xcen,ycen,depth,s_axis_max,dP_mu,strike,dip
4.2627122e+05,4.5189017e+06,2.6527821e+03,2.0870383e+03,1.5259093e-03,6.6573718e+01,2.3657049e+01
4.2625002e+05,4.5188568e+06,2.6544931e+03,2.0856078e+03,1.5651300e-03,6.5975714e+01,2.3491870e+01
4.2625401e+05,4.5188757e+06,2.6679149e+03,2.0919489e+03,1.5433512e-03,6.6578870e+01,2.3321879e+01
4.2624479e+05,4.5188822e+06,2.6591362e+03,2.0878785e+03,1.5561127e-03,6.5662253e+01,2.3323882e+01
4.2626129e+05,4.5189112e+06,2.6601729e+03,2.0859232e+03,1.5411612e-03,6.6025724e+01,2.3527567e+01
4.2624950e+05,4.5189082e+06,2.6655886e+03,2.0924038e+03,1.5258497e-03,6.5493965e+01,2.3328659e+01
4.2625883e+05,4.5188818e+06,2.6531260e+03,2.0854418e+03,1.5532348e-03,6.6595793e+01,2.3554591e+01
4.2625354e+05,4.5188673e+06,2.6617479e+03,2.0922816e+03,1.5455817e-03,6.7484199e+01,2.3242939e+01
4.2625317e+05,4.5188664e+06,2.6729444e+03,2.0835008e+03,1.5853476e-03,6.5115027e+01,2.3313083e+01
4.2626227e+05,4.5188891e+06,2.6639402e+03,2.0833194e+03,1.5593370e-03,6.5592624e+01,2.3607325e+01
4.2628243e+05,4.5189286e+06,2.6339490e+03,2.0745854e+03,1.5415000e-03,6.5509759e+01,2.4019339e+01
4.2625514e+05,4.5188893e+06,2.6657825e+03,2.0864358e+03,1.5554466e-03,6.5278301e+01,2.3374475e+01
4.2623664e+05,4.5188992e+06,2.6761522e+03,2.1006392e+03,1.5152103e-03,6.5704436e+01,2.2962936e+01
4.2626183e+05,4.5189051e+06,2.6690940e+03,2.0809290e+03,1.5654127e-03,6.4629148e+01,2.3567146e+01
4.2625334e+05,4.5188742e+06,2.6619709e+03,2.0884877e+03,1.5536079e-03,6.6305423e+01,2.3329173e+01
4.2624114e+05,4.5188814e+06,2.6522968e+03,2.0940628e+03,1.5307066e-03,6.6463165e+01,2.3204559e+01
4.2627182e+05,4.5189003e+06,2.6485707e+03,2.0871130e+03,1.5228903e-03,6.6778923e+01,2.3676501e+01
4.2626290e+05,4.5188959e+06,2.6282850e+03,2.0794675e+03,1.5375000e-03,6.5503971e+01,2.4057944e+01
4.2625511e+05,4.5188693e+06,2.6601052e+03,2.0930223e+03,1.5351266e-03,6.7129974e+01,2.3369486e+01
4.2623830e+05,4.5189088e+06,2.6395665e+03,2.0887519e+03,1.5276532e-03,6.5412906e+01,2.3484456e+01
4.2626243e+05,4.5189171e+06,2.6611795e+03,2.0859891e+03,1.5387993e-03,6.5995006e+01,2.3524537e+01
4.2623245e+05,4.5188970e+06,2.6474599e+03,2.0931954e+03,1.5283288e-03,6.5712821e+01,2.3223872e+01
4.2626561e+05,4.5188957e+06,2.6486742e+03,2.0845513e+03,1.5404176e-03,6.6463460e+01,2.3693131e+01
4.2626028e+05,4.5189011e+06,2.6508590e+03,2.0859444e+03,1.5394305e-03,6.6325193e+01,2.3537697e+01
4.2624331e+05,4.5188653e+06,2.6707368e+03,2.0852766e+03,1.5834200e-03,6.4437311e+01,2.3169900e+01
4.2625789e+05,4.5188692e+06,2.6692495e+03,2.0844057e+03,1.5700717e-03,6.5402484e+01,2.3480602e+01
4.2627120e+05,4.5189148e+06,2.6644977e+03,2.0780339e+03,1.5686633e-03,6.4339258e+01,2.3443998e+01
4.2624715e+05,4.5188779e+06,2.6887855e+03,2.0919859e+03,1.5650673e-03,6.4795723e+01,2.2894686e+01
4.2623950e+05,4.5188848e+06,2.6714856e+03,2.0923611e+03,1.5495816e-03,6.4953751e+01,2.3064696e+01
4.2625995e+05,4.5188973e+06,2.6479153e+03,2.0723483e+03,1.5786099e-03,6.3052548e+01,2.3924705e+01
4.2624934e+05,4.5188842e+06,2.6567027e+03,2.0871756e+03,1.5535312e-03,6.5652580e+01,2.3266224e+01
4.2627677e+05,4.5189019e+06,2.6650408e+03,2.0799110e+03,1.5668984e-03,6.5347600e+01,2.3392022e+01
4.2625783e+05,4.5189057e+06,2.6490278e+03,2.0874769e+03,1.5293428e-03,6.6065515e+01,2.3565873e+01
4.2625887e+05,4.5188785e+06,2.6225684e+03,2.0739928e+03,1.5592079e-03,6.3836814e+01,2.4142506e+01
4.2624976e+05,4.5188782e+06,2.6483883e+03,2.0917606e+03,1.5291073e-03,6.6834874e+01,2.3471834e+01
4.2623351e+05,4.5189157e+06,2.6384711e+03,2.0910783e+03,1.5197483e-03,6.5441940e+01,2.3351570e+01
4.2625989e+05,4.5189178e+06,2.6640712e+03,2.0860211e+03,1.5428322e-03,6.5865745e+01,2.3477437e+01
4.2622298e+05,4.5188978e+06,2.6594741e+03,2.0937952e+03,1.5394680e-03,6.4653138e+01,2.3011665e+01
4.2626260e+05,4.5188959e+06,2.6374165e+03,2.0847785e+03,1.5311917e-03,6.6443177e+01,2.3789246e+01
4.2623823e+05,4.5188587e+06,2.6668887e+03,2.0918370e+03,1.5623583e-03,6.5179552e+01,2.2950686e+01
4.2624182e+05,4.5188776e+06,2.6632916e+03,2.0849867e+03,1.5719129e-03,6.4032052e+01,2.3252358e+01
4.2624318e+05,4.5188846e+06,2.6649670e+03,2.0854689e+03,1.5620528e-03,6.4023186e+01,2.3428106e+01
4.2625849e+05,4.5189061e+06,2.6683512e+03,2.0800632e+03,1.5758139e-03,6.3344093e+01,2.3127789e+01
4.2623339e+05,4.5188700e+06,2.6912134e+03,2.0964378e+03,1.5623738e-03,6.4507057e+01,2.2645560e+01
