xtlc,ytlc,dtlc,length,opening
4.2486863e+05,4.5195434e+06,3.5591060e+03,2.5818646e+03,1.3811409e+00
4.2487816e+05,4.5195072e+06,3.5719556e+03,2.5811855e+03,1.3914185e+00
4.2492153e+05,4.5195191e+06,3.5743378e+03,2.4637070e+03,1.4380093e+00
4.2489437e+05,4.5195498e+06,3.5638634e+03,2.5363047e+03,1.3990279e+00
4.2487937e+05,4.5195033e+06,3.5719098e+03,2.5950030e+03,1.3918659e+00
4.2488137e+05,4.5195523e+06,3.5968870e+03,2.6045419e+03,1.3815633e+00
4.2491121e+05,4.5195076e+06,3.5714440e+03,2.5247058e+03,1.4242537e+00
4.2487678e+05,4.5195351e+06,3.5632762e+03,2.5750577e+03,1.3869547e+00
4.2487880e+05,4.5195220e+06,3.5826435e+03,2.5731156e+03,1.3915708e+00
4.2494109e+05,4.5194915e+06,3.5777106e+03,2.4598717e+03,1.4574652e+00
4.2487828e+05,4.5195293e+06,3.5525057e+03,2.5623475e+03,1.3936419e+00
4.2487242e+05,4.5195241e+06,3.5826843e+03,2.6135071e+03,1.3788522e+00
4.2491629e+05,4.5195407e+06,3.5975037e+03,2.5024376e+03,1.4241730e+00
4.2489126e+05,4.5195391e+06,3.5601663e+03,2.5376082e+03,1.3988716e+00
4.2488905e+05,4.5195001e+06,3.5577197e+03,2.5515859e+03,1.4084511e+00
4.2489769e+05,4.5195367e+06,3.5963495e+03,2.5538561e+03,1.4040754e+00
4.2493010e+05,4.5195169e+06,3.5974723e+03,2.5091596e+03,1.4361928e+00
4.2492409e+05,4.5195350e+06,3.5616790e+03,2.4589315e+03,1.4397515e+00
4.2489511e+05,4.5195278e+06,3.5917016e+03,2.5493410e+03,1.4044378e+00
4.2494279e+05,4.5195084e+06,3.5796712e+03,2.4520469e+03,1.4565565e+00
4.2490009e+05,4.5195183e+06,3.5689858e+03,2.5329756e+03,1.4156053e+00
4.2487001e+05,4.5195233e+06,3.5871158e+03,2.6236027e+03,1.3759465e+00
4.2493243e+05,4.5195453e+06,3.6343099e+03,2.4880126e+03,1.4369008e+00
4.2487274e+05,4.5195375e+06,3.5611759e+03,2.5927031e+03,1.3755702e+00
4.2488178e+05,4.5195170e+06,3.5585886e+03,2.5692800e+03,1.3937794e+00
4.2498197e+05,4.5195138e+06,3.6399434e+03,2.4116934e+03,1.4853736e+00
4.2495237e+05,4.5195150e+06,3.6134021e+03,2.4710291e+03,1.4584366e+00
4.2495556e+05,4.5195216e+06,3.5955443e+03,2.4337694e+03,1.4675241e+00
4.2493921e+05,4.5195181e+06,3.5755288e+03,2.4515228e+03,1.4506719e+00
4.2497771e+05,4.5194953e+06,3.5826495e+03,2.3856598e+03,1.4932760e+00
4.2493904e+05,4.5195068e+06,3.5741071e+03,2.4597509e+03,1.4552529e+00
4.2492055e+05,4.5195275e+06,3.6209364e+03,2.5214124e+03,1.4275604e+00
4.2495000e+05,4.5195499e+06,3.6396341e+03,2.4423266e+03,1.4570361e+00
4.2491927e+05,4.5195359e+06,3.6009422e+03,2.5090885e+03,1.4242611e+00
4.2493458e+05,4.5195234e+06,3.6119216e+03,2.4885932e+03,1.4396831e+00
4.2495544e+05,4.5195149e+06,3.6116216e+03,2.4526328e+03,1.4625909e+00
4.2497222e+05,4.5195214e+06,3.5991524e+03,2.4272350e+03,1.4779036e+00
4.2494944e+05,4.5195343e+06,3.6105670e+03,2.4563805e+03,1.4571644e+00
4.2494870e+05,4.5195087e+06,3.5622323e+03,2.4235553e+03,1.4629891e+00
4.2494707e+05,4.5195029e+06,3.6027837e+03,2.4638482e+03,1.4624531e+00
4.2493433e+05,4.5195163e+06,3.5798058e+03,2.4693321e+03,1.4489181e+00
4.2492531e+05,4.5195240e+06,3.6170587e+03,2.5204994e+03,1.4338515e+00
4.2495421e+05,4.5195245e+06,3.6026202e+03,2.4457459e+03,1.4625979e+00
4.2491627e+05,4.5195362e+06,3.6075343e+03,2.5184373e+03,1.4218359e+00
4.2495929e+05,4.5195162e+06,3.6253327e+03,2.4559841e+03,1.4653860e+00
4.2498482e+05,4.5195046e+06,3.6312862e+03,2.4360738e+03,1.4798303e+00
