func,iter,xtlc,ytlc,dtlc,length,width,dip,opening
2.810796e+01,12,4.2540041e+05,4.5196784e+06,3.8718460e+03,1.7242627e+03,2.4314676e+03,4.8921465e+00,1.9782640e+00
2.811380e+01,17,4.2540607e+05,4.5196599e+06,3.6640742e+03,1.8254941e+03,2.4227191e+03,3.0122711e+00,1.8435860e+00
2.811444e+01,17,4.2521271e+05,4.5199944e+06,4.4208207e+03,2.0881579e+03,2.8042082e+03,2.6330543e-01,1.5930362e+00
2.811843e+01,17,4.2562398e+05,4.5191611e+06,3.8624324e+03,1.5880662e+03,1.3317290e+03,4.6230313e-01,3.4230620e+00
2.812439e+01,17,4.2457525e+05,4.5190523e+06,3.5789429e+03,3.5739076e+03,5.7560178e+02,8.9813156e-01,3.6802372e+00
2.813774e+01,16,4.2534631e+05,4.5200653e+06,4.4381562e+03,1.7817120e+03,3.1758126e+03,9.8875777e-01,1.7248361e+00
2.815742e+01,16,4.2521089e+05,4.5195788e+06,4.1799853e+03,2.2286342e+03,2.4070145e+03,1.3327797e+00,1.6464515e+00
2.816253e+01,17,4.2524875e+05,4.5200070e+06,4.0408292e+03,1.8349223e+03,3.0106584e+03,4.1819234e+00,1.7079093e+00
2.817352e+01,17,4.2527168e+05,4.5200365e+06,4.0568211e+03,1.8217778e+03,3.1786343e+03,1.4539258e-01,1.6604040e+00
2.820006e+01,13,4.2502223e+05,4.5199717e+06,3.6392016e+03,2.1422455e+03,2.3873141e+03,1.1026968e+00,1.3313097e+00
2.821970e+01,17,4.2516616e+05,4.5201264e+06,4.1611633e+03,1.8602138e+03,3.0207163e+03,5.5699761e-01,1.6753741e+00
2.822327e+01,15,4.2521027e+05,4.5196408e+06,3.6517070e+03,1.9014553e+03,2.5574198e+03,2.0384140e+00,1.5168659e+00
2.822487e+01,17,4.2521574e+05,4.5198107e+06,3.8890936e+03,1.7178965e+03,2.6926353e+03,4.2306819e+00,1.8036712e+00
2.822770e+01,15,4.2575381e+05,4.5203094e+06,3.4952994e+03,7.3637375e+02,3.9405450e+03,2.5619473e+00,2.5501243e+00
2.825830e+01,16,4.2509121e+05,4.5199075e+06,4.2173126e+03,2.2931693e+03,2.8471673e+03,2.6139675e+00,1.4152206e+00
2.830516e+01,17,4.2496247e+05,4.5197372e+06,3.6303285e+03,2.0542498e+03,2.5459658e+03,4.8835119e-01,1.3370671e+00
2.833731e+01,16,4.2529620e+05,4.5198725e+06,3.8601149e+03,1.8458787e+03,2.8875916e+03,4.4041944e+00,1.7313321e+00
2.835075e+01,12,4.2508425e+05,4.5198618e+06,4.3475770e+03,2.1189793e+03,2.3269286e+03,3.9426673e-01,1.9155352e+00
2.835683e+01,16,4.2554622e+05,4.5197082e+06,3.8625970e+03,1.1826780e+03,1.6307271e+03,6.4286351e-01,3.7517067e+00
