xcen,ycen,depth,Pxx,Pyy,Pzz
4.2630185e+05,4.5182498e+06,5.0151479e+03,1.1198103e+06,1.3758162e+07,2.7712563e+07
4.2625506e+05,4.5182539e+06,5.0314543e+03,1.1459422e+06,1.4079991e+07,2.7890444e+07
4.2628978e+05,4.5182202e+06,5.0161643e+03,1.0266473e+06,1.3088877e+07,2.7951441e+07
4.2629340e+05,4.5182417e+06,5.0223160e+03,1.0377882e+06,1.3655733e+07,2.7773902e+07
4.2629428e+05,4.5182433e+06,5.0274928e+03,1.0902522e+06,1.3275537e+07,2.7747280e+07
4.2631351e+05,4.5182227e+06,4.9984067e+03,1.0045791e+06,1.3659404e+07,2.7854357e+07
4.2630700e+05,4.5182402e+06,5.0247833e+03,1.0567056e+06,1.3168883e+07,2.7641639e+07
4.2629410e+05,4.5182512e+06,5.0181851e+03,1.1352992e+06,1.3780190e+07,2.7755734e+07
4.2629404e+05,4.5182531e+06,5.0137481e+03,1.0255753e+06,1.3660983e+07,2.7769960e+07
4.2627836e+05,4.5182273e+06,5.0421577e+03,1.0578461e+06,1.3159496e+07,2.7890751e+07
4.2630798e+05,4.5182399e+06,5.0366957e+03,1.0059136e+06,1.2774429e+07,2.7549278e+07
4.2629858e+05,4.5182228e+06,5.0207096e+03,1.0530664e+06,1.3138351e+07,2.7871897e+07
4.2630541e+05,4.5183103e+06,4.9697491e+03,1.3299991e+06,1.4581320e+07,2.7747201e+07
4.2629707e+05,4.5182659e+06,5.0401717e+03,1.0862845e+06,1.3029138e+07,2.7500820e+07
4.2627620e+05,4.5182540e+06,5.0052991e+03,1.1539131e+06,1.4413545e+07,2.7906757e+07
4.2627786e+05,4.5182407e+06,5.0251878e+03,1.0687642e+06,1.3536272e+07,2.7838098e+07
4.2627592e+05,4.5182140e+06,5.0222770e+03,1.0032395e+06,1.2971079e+07,2.8029143e+07
4.2628475e+05,4.5182297e+06,5.0211462e+03,1.0401841e+06,1.3559945e+07,2.7883710e+07
