func,iter,xcen,ycen,depth,s_axis_max,dP_mu,strike,dip
1.736103e+01,19,4.2643212e+05,4.5187626e+06,3.3247695e+03,1.7285749e+03,4.0176866e-03,8.6613505e+01,2.6535921e+01
1.736805e+01,19,4.2645255e+05,4.5186697e+06,3.2609333e+03,1.5687088e+03,4.8874836e-03,6.4444035e+01,2.2156052e+01
1.737768e+01,18,4.2625707e+05,4.5184987e+06,3.2453414e+03,1.2882291e+03,8.3319088e-03,6.7708705e+01,1.4916578e+01
1.738456e+01,19,4.2642111e+05,4.5187508e+06,2.9911809e+03,1.3058803e+03,6.8560088e-03,9.8640384e+01,2.5899548e+01
1.739230e+01,17,4.2645025e+05,4.5186517e+06,3.0969914e+03,1.5613310e+03,4.3473406e-03,8.9709947e+01,2.5169137e+01
1.740701e+01,16,4.2629973e+05,4.5185401e+06,2.9171306e+03,1.6640881e+03,3.2916755e-03,6.6663509e+01,1.9965900e+01
1.743366e+01,15,4.2622354e+05,4.5187058e+06,2.5457717e+03,1.8286054e+03,2.0595469e-03,8.5447958e+01,2.9404862e+01
1.746366e+01,14,4.2651236e+05,4.5186333e+06,2.9981809e+03,1.6027078e+03,4.1913182e-03,7.1895998e+01,2.7539129e+01
1.748293e+01,19,4.2644880e+05,4.5187755e+06,3.2452372e+03,1.7303770e+03,3.8616378e-03,9.2002734e+01,2.4524399e+01
1.749777e+01,17,4.2645768e+05,4.5189245e+06,2.9919743e+03,1.6999172e+03,3.5919465e-03,6.4383323e+01,2.8177698e+01
1.751736e+01,11,4.2634484e+05,4.5185248e+06,3.1589126e+03,1.5674933e+03,4.4087036e-03,8.5217009e+01,2.5834226e+01
1.754395e+01,19,4.2621517e+05,4.5188408e+06,3.1562923e+03,1.4657652e+03,5.2014189e-03,8.5560747e+01,2.8557121e+01
1.757450e+01,19,4.2613623e+05,4.5185620e+06,3.3307380e+03,1.6597412e+03,4.5118174e-03,8.0524633e+01,2.5927807e+01
1.767114e+01,19,4.2636941e+05,4.5189882e+06,2.9125174e+03,1.5707591e+03,4.4167014e-03,9.6793465e+01,2.3897942e+01
1.768530e+01,18,4.2621541e+05,4.5188839e+06,2.9287707e+03,1.4263794e+03,4.9809335e-03,7.2896871e+01,2.9007863e+01
1.771083e+01,16,4.2643122e+05,4.5186860e+06,3.2568229e+03,1.5539724e+03,4.8502889e-03,9.6039664e+01,2.6798040e+01
1.772309e+01,18,4.2601644e+05,4.5186752e+06,2.8471214e+03,1.4466907e+03,5.1483621e-03,7.3959279e+01,2.8213419e+01
1.774367e+01,16,4.2623095e+05,4.5188647e+06,3.3486761e+03,1.6999693e+03,4.2028705e-03,9.0819002e+01,2.5319540e+01
1.775312e+01,18,4.2624736e+05,4.5187816e+06,2.9497754e+03,2.3923136e+03,1.3511121e-03,8.3558445e+01,1.8766981e+01
1.776857e+01,14,4.2628556e+05,4.5185808e+06,3.1232410e+03,2.1438731e+03,1.9067089e-03,8.9820065e+01,2.7116849e+01
1.777039e+01,18,4.2628444e+05,4.5186918e+06,2.7225171e+03,2.5092070e+03,1.0163372e-03,7.5892910e+01,1.5804610e+01
1.777485e+01,18,4.2629489e+05,4.5184726e+06,3.0060755e+03,1.5187894e+03,4.9878517e-03,8.3125025e+01,2.3378323e+01
1.777938e+01,18,4.2639145e+05,4.5185472e+06,3.2425101e+03,1.6216113e+03,4.7101409e-03,6.8899427e+01,2.6075660e+01
1.778536e+01,17,4.2615731e+05,4.5186959e+06,2.6734164e+03,1.5036600e+03,4.0989376e-03,9.7979024e+01,2.0459995e+01
1.779174e+01,19,4.2631550e+05,4.5186726e+06,3.4125888e+03,1.6870661e+03,4.0655812e-03,9.0455353e+01,2.5735530e+01
1.782798e+01,18,4.2649809e+05,4.5187444e+06,3.1711814e+03,1.6641232e+03,3.9533985e-03,6.1775661e+01,2.7660378e+01
1.790209e+01,17,4.2635999e+05,4.5186930e+06,3.2770459e+03,1.6408893e+03,3.9972774e-03,7.1197056e+01,2.6410158e+01
1.790476e+01,17,4.2609201e+05,4.5184709e+06,3.1580992e+03,1.5311462e+03,4.9272413e-03,7.0758456e+01,2.0058881e+01
1.792924e+01,19,4.2614091e+05,4.5186726e+06,3.2950073e+03,1.5250135e+03,5.1556022e-03,9.5963939e+01,2.4647566e+01
1.794261e+01,19,4.2621035e+05,4.5186026e+06,2.9812731e+03,1.4437770e+03,5.0307418e-03,9.5890944e+01,2.5142309e+01
1.794516e+01,16,4.2627192e+05,4.5185505e+06,2.9800586e+03,1.4398691e+03,5.0642964e-03,9.0790618e+01,2.6161360e+01
1.796080e+01,16,4.2610139e+05,4.5186749e+06,2.9830918e+03,1.6140856e+03,4.2733264e-03,7.0712735e+01,2.7524365e+01
1.797058e+01,18,4.2607428e+05,4.5187873e+06,2.7255834e+03,1.3567886e+03,5.9227000e-03,7.2226133e+01,2.0478933e+01
1.799227e+01,16,4.2622028e+05,4.5185970e+06,2.9947091e+03,1.5508287e+03,4.8526026e-03,9.2072668e+01,2.4848580e+01
1.799827e+01,17,4.2616336e+05,4.5184424e+06,3.1775951e+03,1.5947274e+03,4.4369877e-03,7.6950246e+01,2.0739790e+01
1.802538e+01,18,4.2655102e+05,4.5187745e+06,3.0472555e+03,1.5647041e+03,4.5875981e-03,7.0693702e+01,2.5281676e+01
1.803297e+01,19,4.2605157e+05,4.5187849e+06,3.1474816e+03,1.4966089e+03,5.4072428e-03,6.4400480e+01,2.7627017e+01
1.809290e+01,18,4.2613703e+05,4.5190057e+06,2.7647642e+03,1.7036170e+03,3.0551465e-03,1.0811276e+02,2.3115517e+01
1.809377e+01,19,4.2635687e+05,4.5188118e+06,3.4420410e+03,1.7579798e+03,3.8228521e-03,8.5553996e+01,2.5938626e+01
1.811916e+01,19,4.2598941e+05,4.5186856e+06,3.0074526e+03,1.4591957e+03,5.1712579e-03,7.6177171e+01,2.6208264e+01
1.817773e+01,19,4.2644465e+05,4.5186271e+06,3.1563432e+03,1.6315394e+03,4.4615089e-03,9.3470319e+01,2.6544784e+01
1.819280e+01,19,4.2647162e+05,4.5187184e+06,2.9404427e+03,1.5136706e+03,4.9138678e-03,5.5467665e+01,2.3046708e+01
1.819420e+01,19,4.2627202e+05,4.5186971e+06,3.2893389e+03,1.6031976e+03,5.0647128e-03,5.7513424e+01,2.2996454e+01
1.820372e+01,16,4.2606183e+05,4.5186600e+06,3.0723761e+03,1.6869286e+03,3.6306710e-03,5.6103864e+01,2.7063690e+01
1.820908e+01,18,4.2619962e+05,4.5187576e+06,2.7750097e+03,2.3705306e+03,1.1028505e-03,8.3602063e+01,2.0830635e+01
1.821087e+01,15,4.2621935e+05,4.5188208e+06,3.1433961e+03,1.6462168e+03,4.4494837e-03,7.2404130e+01,2.5168895e+01
1.821882e+01,17,4.2616936e+05,4.5187045e+06,3.3656972e+03,1.6490084e+03,4.4109560e-03,1.0158331e+02,2.5266061e+01
1.824663e+01,18,4.2630502e+05,4.5184896e+06,3.0916226e+03,1.6180795e+03,3.8845900e-03,6.4938578e+01,2.8032544e+01
1.824804e+01,18,4.2625597e+05,4.5186130e+06,3.5184302e+03,1.8283078e+03,3.4639641e-03,7.6918563e+01,2.3397490e+01
1.826073e+01,17,4.2621690e+05,4.5190681e+06,2.7935208e+03,1.6996981e+03,3.2115912e-03,9.7966248e+01,2.5731024e+01
1.826531e+01,19,4.2640098e+05,4.5188438e+06,3.1205676e+03,1.6083108e+03,4.7018676e-03,6.7741212e+01,2.6378865e+01
1.827057e+01,15,4.2638103e+05,4.5188770e+06,3.1367438e+03,1.5013496e+03,4.8414051e-03,7.9849555e+01,2.8039277e+01
1.827344e+01,17,4.2643184e+05,4.5186056e+06,3.1798282e+03,1.6570843e+03,3.7851040e-03,6.6077187e+01,2.6339684e+01
1.837078e+01,13,4.2630957e+05,4.5188900e+06,3.3655347e+03,1.7050469e+03,4.2400342e-03,8.8110087e+01,2.6675087e+01
1.837588e+01,18,4.2649660e+05,4.5188294e+06,3.2124870e+03,1.6323753e+03,4.1417710e-03,8.2614671e+01,2.6609073e+01
1.840389e+01,17,4.2640162e+05,4.5187774e+06,3.3270308e+03,1.6131163e+03,4.3974769e-03,8.5217966e+01,2.5746936e+01
1.841341e+01,16,4.2640298e+05,4.5187745e+06,2.7302322e+03,1.5071251e+03,4.7298740e-03,8.0284653e+01,2.5058576e+01
1.842306e+01,15,4.2614489e+05,4.5187029e+06,2.7431905e+03,1.4285172e+03,5.1762530e-03,5.0785411e+01,2.4955029e+01
1.843042e+01,11,4.2624766e+05,4.5185741e+06,3.2090712e+03,1.5552717e+03,4.6695369e-03,5.3918643e+01,2.8662555e+01
1.845946e+01,19,4.2615145e+05,4.5188222e+06,2.8686753e+03,1.4996215e+03,5.0668948e-03,8.3950571e+01,2.3204745e+01
1.846128e+01,15,4.2616812e+05,4.5187258e+06,3.1109462e+03,1.6780770e+03,4.1617640e-03,8.1292148e+01,2.6472479e+01
1.847136e+01,19,4.2631491e+05,4.5187822e+06,3.2301909e+03,1.7332741e+03,4.0070561e-03,6.8713938e+01,2.5953072e+01
1.848804e+01,19,4.2631986e+05,4.5184693e+06,2.9941867e+03,1.5267367e+03,4.9484482e-03,7.6948121e+01,2.5309629e+01
1.849104e+01,12,4.2626102e+05,4.5186445e+06,3.5656322e+03,1.6244397e+03,5.0695770e-03,7.6688827e+01,2.0681936e+01
1.850263e+01,19,4.2634068e+05,4.5185494e+06,3.0192006e+03,1.5258666e+03,4.3398124e-03,8.7302148e+01,2.5970217e+01
1.850874e+01,12,4.2618879e+05,4.5184020e+06,3.2504960e+03,1.3909220e+03,7.1413734e-03,6.2965740e+01,1.9293158e+01
