xcen,ycen,depth,radius,dP_mu
4.2617143e+05,4.5185200e+06,3.5290299e+03,1.7139707e+03,6.3230469e-04
4.2616632e+05,4.5185034e+06,3.5467765e+03,1.7103804e+03,6.4595116e-04
4.2644325e+05,4.5190810e+06,2.9488164e+03,7.1097265e+02,6.1553495e-03
4.2639675e+05,4.5190952e+06,2.9852362e+03,7.1897262e+02,6.1302833e-03
4.2617373e+05,4.5185152e+06,3.5763609e+03,1.7283663e+03,6.3222683e-04
4.2646399e+05,4.5190793e+06,2.9312659e+03,7.0928295e+02,6.1476411e-03
4.2616876e+05,4.5185336e+06,3.4940358e+03,1.7623190e+03,5.7840735e-04
4.2618234e+05,4.5185119e+06,3.5570009e+03,1.7053857e+03,6.5090299e-04
4.2615080e+05,4.5185090e+06,3.5579913e+03,1.6518548e+03,7.0794086e-04
4.2617413e+05,4.5185165e+06,3.5347569e+03,1.7073044e+03,6.4541657e-04
4.2616365e+05,4.5185158e+06,3.5527424e+03,1.6992246e+03,6.5503071e-04
4.2616837e+05,4.5185148e+06,3.5263640e+03,1.7269194e+03,6.2382811e-04
4.2644325e+05,4.5190810e+06,2.9488164e+03,7.1097265e+02,6.1553495e-03
4.2636657e+05,4.5191023e+06,3.0094562e+03,7.2332100e+02,6.1224937e-03
4.2616609e+05,4.5185129e+06,3.5716665e+03,1.7042295e+03,6.5582942e-04
4.2646285e+05,4.5190794e+06,2.9322293e+03,7.0937570e+02,6.1480642e-03
4.2616463e+05,4.5185270e+06,3.5112671e+03,1.7315304e+03,6.1448114e-04
4.2619412e+05,4.5185181e+06,3.5645202e+03,1.7017124e+03,6.5454475e-04
4.2615656e+05,4.5185101e+06,3.5590285e+03,1.6585330e+03,7.0082920e-04
4.2617865e+05,4.5185116e+06,3.5457330e+03,1.6956560e+03,6.6022070e-04
