xcen,ycen,depth,dVol
4.2632977e+05,4.5188208e+06,2.6227646e+03,5.0762684e+06
4.2634348e+05,4.5188314e+06,2.6505737e+03,5.1140336e+06
4.2633802e+05,4.5188280e+06,2.6296695e+03,5.1024872e+06
4.2631181e+05,4.5188151e+06,2.6398284e+03,5.1085050e+06
4.2629757e+05,4.5188425e+06,2.6295925e+03,5.0710515e+06
4.2630663e+05,4.5188278e+06,2.6059961e+03,5.0312209e+06
4.2631304e+05,4.5188139e+06,2.6283108e+03,5.1240223e+06
4.2632103e+05,4.5188265e+06,2.6303745e+03,5.0949451e+06
4.2632502e+05,4.5188211e+06,2.6251603e+03,5.0806747e+06
4.2631475e+05,4.5188210e+06,2.6322620e+03,5.0974279e+06
4.2635140e+05,4.5188143e+06,2.6199782e+03,5.0690408e+06
4.2633615e+05,4.5188238e+06,2.6375325e+03,5.1047439e+06
4.2633097e+05,4.5188277e+06,2.6237193e+03,5.0946440e+06
4.2631784e+05,4.5188112e+06,2.6395435e+03,5.0905280e+06
4.2632204e+05,4.5188274e+06,2.6219355e+03,5.0675533e+06
4.2630655e+05,4.5188251e+06,2.6151862e+03,5.0470491e+06
4.2632893e+05,4.5188211e+06,2.6339557e+03,5.1077333e+06
4.2631599e+05,4.5188202e+06,2.6242576e+03,5.0895088e+06
4.2632585e+05,4.5188214e+06,2.6305332e+03,5.0827173e+06
4.2631599e+05,4.5188174e+06,2.6348942e+03,5.0997923e+06
4.2632388e+05,4.5188266e+06,2.6082998e+03,5.0367216e+06
4.2634717e+05,4.5188295e+06,2.6366812e+03,5.0869425e+06
4.2633578e+05,4.5188401e+06,2.6125594e+03,5.0623834e+06
4.2631551e+05,4.5188139e+06,2.6326390e+03,5.0835750e+06
4.2632089e+05,4.5188409e+06,2.6175361e+03,5.0545968e+06
4.2632125e+05,4.5188234e+06,2.6403062e+03,5.1240461e+06
4.2633438e+05,4.5188157e+06,2.6433490e+03,5.1400965e+06
4.2630964e+05,4.5188194e+06,2.6356642e+03,5.1304011e+06
4.2632773e+05,4.5188238e+06,2.6292965e+03,5.0814070e+06
4.2631794e+05,4.5188196e+06,2.6322866e+03,5.0980537e+06
4.2631821e+05,4.5188272e+06,2.6026255e+03,5.0359078e+06
4.2634395e+05,4.5188258e+06,2.6455016e+03,5.1055634e+06
4.2633471e+05,4.5188401e+06,2.6020175e+03,5.0376651e+06
4.2631644e+05,4.5188145e+06,2.6307351e+03,5.0780838e+06
4.2631671e+05,4.5188500e+06,2.6176617e+03,5.0389393e+06
4.2631562e+05,4.5188155e+06,2.6503568e+03,5.1459466e+06
4.2632066e+05,4.5188292e+06,2.6003692e+03,5.0681766e+06
4.2632658e+05,4.5188274e+06,2.6241381e+03,5.0799669e+06
4.2633176e+05,4.5188206e+06,2.6352086e+03,5.0934777e+06
4.2628777e+05,4.5188146e+06,2.6190472e+03,5.0852494e+06
4.2631927e+05,4.5188296e+06,2.6009411e+03,5.0145212e+06
4.2633646e+05,4.5188256e+06,2.6379361e+03,5.1165712e+06
4.2632777e+05,4.5188291e+06,2.6213077e+03,5.0559658e+06
4.2631056e+05,4.5188192e+06,2.6139341e+03,5.0545467e+06
4.2631060e+05,4.5188437e+06,2.6245081e+03,5.0602206e+06
4.2630938e+05,4.5188209e+06,2.6307472e+03,5.1092069e+06
4.2631517e+05,4.5188270e+06,2.6026330e+03,5.0846132e+06
4.2632773e+05,4.5188352e+06,2.6081856e+03,5.0576140e+06
4.2632514e+05,4.5188113e+06,2.6312105e+03,5.0807286e+06
4.2629005e+05,4.5188147e+06,2.6199250e+03,5.0826648e+06
4.2632513e+05,4.5188315e+06,2.5959238e+03,5.0186888e+06
4.2632941e+05,4.5188192e+06,2.6506609e+03,5.1436194e+06
4.2633784e+05,4.5188145e+06,2.6169663e+03,5.0814311e+06
4.2631151e+05,4.5188195e+06,2.6147995e+03,5.0567407e+06
4.2632256e+05,4.5188442e+06,2.6324550e+03,5.0838892e+06
4.2631119e+05,4.5188189e+06,2.6145246e+03,5.0596182e+06
4.2631868e+05,4.5188274e+06,2.6069761e+03,5.0817651e+06
4.2632903e+05,4.5188291e+06,2.6133399e+03,5.0602244e+06
4.2633087e+05,4.5188194e+06,2.6248077e+03,5.0659483e+06
4.2630830e+05,4.5188337e+06,2.6017061e+03,5.0492682e+06
4.2633938e+05,4.5188398e+06,2.5789813e+03,4.9561092e+06
4.2632864e+05,4.5188187e+06,2.6559503e+03,5.1290548e+06
4.2633720e+05,4.5188176e+06,2.6293019e+03,5.1028122e+06
4.2630751e+05,4.5188155e+06,2.6266045e+03,5.0875614e+06
4.2632353e+05,4.5188490e+06,2.6218682e+03,5.0327727e+06
4.2630464e+05,4.5188079e+06,2.6184565e+03,5.0604280e+06
4.2631606e+05,4.5188437e+06,2.6030595e+03,5.0502662e+06
4.2633258e+05,4.5188343e+06,2.6200470e+03,5.0854647e+06
4.2633812e+05,4.5188341e+06,2.6127864e+03,5.0199018e+06
4.2632569e+05,4.5188300e+06,2.6158142e+03,5.0621321e+06
4.2633562e+05,4.5188395e+06,2.5847826e+03,4.9650992e+06
